"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs.","ADP"
"64","Matt Ryan","ATL","QB5","5","37","131","66.6","14.5","57.0","-7.0"
"65","Tevin Coleman","ATL","RB25","5","27","129","69.2","17.1","62.0","-3.0"
"66","Russell Wilson","SEA","QB6","6","37","133","67.0","16.5","65.0","-1.0"
"67","Martavis Bryant","PIT","WR31","9","40","148","70.2","17.1","54.0","-13.0"
"68","Ameer Abdullah","DET","RB26","7","39","149","70.7","19.8","66.0","-2.0"
"69","Frank Gore","IND","RB27","11","41","105","72.0","13.7","81.0","+12.0"
"70","Donte Moncrief","IND","WR32","11","49","113","72.5","14.1","71.0","+1.0"
"71","Pierre Garcon","SF","WR33","11","28","213","73.0","27.6","74.0","+3.0"
"72","Brandon Marshall","NYG","WR34","8","36","112","73.2","16.8","67.0","-5.0"
"73","Theo Riddick","DET","RB28","7","41","130","73.9","16.6","79.0","+6.0"
"74","Eddie Lacy","SEA","RB29","6","30","107","75.1","15.6","73.0","-1.0"
"75","Tyler Eifert","CIN","TE6","6","50","146","76.7","18.3","77.0","+2.0"
"76","Kyle Rudolph","MIN","TE7","9","45","108","76.8","13.5","75.0","-1.0"
"77","Mike Gillislee","NE","RB30","9","27","145","75.5","22.7","70.0","-7.0"
"78","Paul Perkins","NYG","RB31","8","44","140","81.8","19.1","76.0","-2.0"
"79","Kelvin Benjamin","CAR","WR35","11","49","175","83.3","20.5","69.0","-10.0"
"80","Kirk Cousins","WAS","QB7","5","54","134","81.5","19.5","88.0","+8.0"
"81","Jeremy Maclin","BAL","WR36","10","45","129","81.5","17.3","100.0","+19.0"
"82","Delanie Walker","TEN","TE8","8","50","117","83.9","16.1","78.0","-4.0"
"83","DeSean Jackson","TB","WR37","11","55","146","86.2","16.4","89.0","+6.0"
"84","Cameron Meredith","CHI","WR38","9","43","165","88.9","21.9","94.0","+10.0"
"85","Marcus Mariota","TEN","QB8","8","54","174","88.9","25.4","99.0","+14.0"
"86","Jameis Winston","TB","QB9","11","54","149","89.2","18.8","87.0","+1.0"
"87","Eric Decker","TEN","WR39","8","36","132","90.0","18.5","95.0","+8.0"
"88","Zach Ertz","PHI","TE9","10","57","131","94.3","15.1","96.0","+8.0"
"89","Cam Newton","CAR","QB10","11","63","184","92.9","20.8","86.0","-3.0"
"90","Devante Parker","MIA","WR40","11","59","164","97.6","17.9","90.0","0.0"
"91","Adrian Peterson","NO","RB32","5","42","197","97.9","25.8","82.0","-9.0"
"92","Eric Ebron","DET","TE10","7","57","142","98.9","19.6","122.0","+30.0"
"93","Kenny Britt","CLE","WR41","9","46","147","98.9","17.7","109.0","+16.0"
"94","Doug Martin","TB","RB33","11","53","176","99.7","25.4","85.0","-9.0"
"95","Duke Johnson","CLE","RB34","9","39","219","98.3","25.9","103.0","+8.0"
"96","Derek Carr","OAK","QB11","10","63","135","98.1","18.6","80.0","-16.0"
"97","Martellus Bennett","GB","TE11","8","66","133","100.1","14.1","84.0","-13.0"
"98","Randall Cobb","GB","WR42","8","57","169","100.7","17.9","93.0","-5.0"
"99","John Brown","ARI","WR43","8","48","156","97.2","22.2","111.0","+12.0"
"100","LeGarrette Blount","PHI","RB35","10","48","187","102.5","24.9","83.0","-17.0"
"101","Tyrell Williams","LAC","WR44","9","62","160","100.9","21.1","110.0","+9.0"
"102","C.J. Prosise","SEA","RB36","6","77","183","103.0","21.3","107.0","+5.0"
"103","Corey Coleman","CLE","WR45","9","42","147","102.3","16.5","104.0","+1.0"
"104","Terrance West","BAL","RB37","10","44","163","101.5","22.2","112.0","+8.0"
"105","Ben Roethlisberger","PIT","QB12","9","63","152","102.6","20.3","97.0","-8.0"
"106","Dak Prescott","DAL","QB13","6","63","173","105.3","18.9","91.0","-15.0"
"107","Jordan Matthews","PHI","WR46","10","63","148","105.6","19.5","116.0","+9.0"
"108","Mike Wallace","BAL","WR47","10","69","205","106.7","23.2","114.0","+6.0"
"109","Adam Thielen","MIN","WR48","9","74","147","107.6","17.6","105.0","-4.0"
"110","Philip Rivers","LAC","QB14","9","63","176","109.8","23.8","120.0","+10.0"
"111","James White","NE","RB38","9","60","171","108.7","24.9","108.0","-3.0"
"112","Matthew Stafford","DET","QB15","7","58","188","110.9","23.3","113.0","+1.0"
"113","Hunter Henry","LAC","TE12","9","66","164","112.7","18.5","98.0","-15.0"
"114","Corey Davis","TEN","WR49","8","24","264","111.2","31.2","101.0","-13.0"
"115","Kareem Hunt","KC","RB39","10","70","218","113.3","29.5","102.0","-13.0"
"116","Jack Doyle","IND","TE13","11","77","256","114.9","30.3","128.0","+12.0"
"117","Tyrod Taylor","BUF","QB16","6","66","177","115.7","22.0","131.0","+14.0"
"118","Derrick Henry","TEN","RB40","8","85","172","118.3","20.0","92.0","-26.0"
"119","Matt Forte","NYJ","RB41","11","74","186","116.9","21.8","115.0","-4.0"
"120","Rishard Matthews","TEN","WR50","8","59","180","118.1","25.5","118.0","-2.0"
"121","Quincy Enunwa","NYJ","WR51","11","75","237","120.2","32.2","125.0","+4.0"
"122","Samaje Perine","WAS","RB42","5","64","232","123.7","28.3","117.0","-5.0"
"123","Darren Sproles","PHI","RB43","10","78","230","124.7","29.1","127.0","+4.0"
"124","Jonathan Stewart","CAR","RB44","11","63","238","123.9","29.2","119.0","-5.0"
"125","Marvin Jones","DET","WR52","7","72","222","124.2","21.4","124.0","-1.0"
"126","Andy Dalton","CIN","QB17","6","92","187","127.6","20.7","129.0","+3.0"
"127","Giovani Bernard","CIN","RB45","6","82","219","129.6","31.3","137.0","+10.0"
"128","Robert Kelley","WAS","RB46","5","67","211","128.3","28.6","106.0","-22.0"
"129","Eli Manning","NYG","QB18","8","79","193","130.6","20.2","126.0","-3.0"
"130","Jason Witten","DAL","TE14","6","91","172","130.6","19.6","156.0","+26.0"
"131","Coby Fleener","NO","TE15","5","87","190","130.7","21.3","148.0","+17.0"
"132","Robert Woods","LAR","WR53","8","86","269","139.1","36.8","176.0","+44.0"
"133","Sterling Shepard","NYG","WR54","8","75","237","139.8","27.6","134.0","+1.0"
"134","Denver","Broncos","DST1","5","125","244","141.5","20.6","130.0","-4.0"
"135","Ted Ginn","NO","WR55","5","97","257","142.7","31.3","153.0","+18.0"
"136","Jamaal Charles","DEN","RB47","5","80","249","146.8","35.9","123.0","-13.0"
"137","Breshad Perriman","BAL","WR56","10","106","235","148.2","27.5","160.0","+23.0"
"138","Kevin White","CHI","WR57","9","82","249","147.0","29.3","143.0","+5.0"
"139","Josh Doctson","WAS","WR58","5","108","246","147.3","31.8","138.0","-1.0"
"140","Seattle","Seahawks","DST2","6","128","203","143.5","14.2","139.0","-1.0"
"141","C.J. Fiedorowicz","HOU","TE16","7","118","220","148.5","25.2","186.0","+45.0"
"142","Latavius Murray","MIN","RB48","9","89","226","148.2","28.9","132.0","-10.0"
"143","Houston","Texans","DST3","7","132","187","145.3","11.4","142.0","-1.0"
"144","Cameron Brate","TB","TE17","11","91","244","149.0","28.4","171.0","+27.0"
"145","Carson Wentz","PHI","QB19","10","114","194","149.1","18.4","133.0","-12.0"
"146","Jacquizz Rodgers","TB","RB49","11","72","238","151.6","42.9","135.0","-11.0"
"147","Carson Palmer","ARI","QB20","8","117","191","150.9","17.4","146.0","-1.0"
"148","Alvin Kamara","NO","RB50","5","81","230","149.0","29.2","163.0","+15.0"
"149","Kansas City","Chiefs","DST4","10","125","191","149.5","12.4","144.0","-5.0"
"150","Julius Thomas","MIA","TE18","11","96","204","151.0","25.4","157.0","+7.0"
"151","Cole Beasley","DAL","WR59","6","75","237","155.9","34.1","151.0","0.0"
"152","Austin Hooper","ATL","TE19","5","84","264","156.5","33.7","154.0","+2.0"
"153","Chris Thompson","WAS","RB51","5","100","261","157.4","35.8","165.0","+12.0"
"154","Blake Bortles","JAC","QB21","8","110","199","150.7","18.4","184.0","+30.0"
"155","Zay Jones","BUF","WR60","6","95","213","153.7","24.4","164.0","+9.0"
"156","Marqise Lee","JAC","WR61","8","56","218","156.4","29.8","196.0","+40.0"
"157","Tyler Lockett","SEA","WR62","6","104","213","157.6","23.7","166.0","+9.0"
"158","Kenny Stills","MIA","WR63","11","80","235","160.0","30.2","180.0","+22.0"
"159","Thomas Rawls","SEA","RB52","6","101","250","161.2","35.7","140.0","-19.0"
"160","Jeremy Hill","CIN","RB53","6","96","265","166.1","37.9","150.0","-10.0"
"161","Antonio Gates","LAC","TE20","9","121","242","159.2","24.7","177.0","+16.0"
"162","Jamaal Williams","GB","RB54","8","92","246","164.7","40.2","152.0","-10.0"
"163","Arizona","Cardinals","DST5","8","133","228","159.4","16.9","162.0","-1.0"
"164","Minnesota","Vikings","DST6","9","138","192","160.0","14.3","159.0","-5.0"
"165","O.J. Howard","TB","TE21","11","107","231","163.2","27.2","121.0","-44.0"
"166","Charles Sims","TB","RB55","11","100","274","173.3","35.1","226.0","+60.0"
"167","John Ross","CIN","WR64","6","83","251","169.6","33.2","136.0","-31.0"
"168","Joe Williams","SF","RB56","11","96","267","172.7","43.6","147.0","-21.0"
"169","New England","Patriots","DST7","9","141","200","168.3","14.5","158.0","-11.0"
"170","Shane Vereen","NYG","RB57","8","116","261","176.9","35.7","217.0","+47.0"
"171","Stephen Gostkowski","NE","K1","9","145","197","169.0","9.7","141.0","-30.0"
"172","Justin Tucker","BAL","K2","10","142","245","171.9","18.4","145.0","-27.0"
