"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"35","Sammy Watkins","BUF","WR19","6","17","75","38.1","14.1","32.0","-3.0"
"36","Golden Tate","DET","WR20","7","24","68","38.4","9.9","48.0","+12.0"
"37","Tom Brady","NE","QB2","9","32","58","39.8","5.7","39.0","+2.0"
"38","Michael Crabtree","OAK","WR21","10","24","67","40.8","8.8","44.0","+6.0"
"39","Jarvis Landry","MIA","WR22","11","24","70","41.3","12.7","36.0","-3.0"
"40","Larry Fitzgerald","ARI","WR23","8","18","70","41.4","11.5","55.0","+15.0"
"41","Terrelle Pryor","WAS","WR24","5","24","95","43.1","14.8","41.0","0.0"
"42","Marshawn Lynch","OAK","RB14","10","15","110","43.5","17.8","29.0","-13.0"
"43","Carlos Hyde","SF","RB15","11","26","66","44.4","8.9","43.0","0.0"
"44","Jordan Reed","WAS","TE3","5","34","57","44.8","5.4","42.0","-2.0"
"45","Christian McCaffrey","CAR","RB16","11","16","81","45.6","13.8","34.0","-11.0"
"46","Joe Mixon","CIN","RB17","6","22","94","47.5","16.7","37.0","-9.0"
"47","Drew Brees","NO","QB3","5","37","67","47.9","6.2","45.0","-2.0"
"48","Greg Olsen","CAR","TE4","11","32","82","48.6","8.2","49.0","+1.0"
"49","Ty Montgomery","GB","RB18","8","17","167","48.6","24.0","46.0","-3.0"
"50","Julian Edelman","NE","WR25","9","31","113","52.6","17.3","53.0","+3.0"
"51","Mark Ingram","NO","RB19","5","26","94","54.8","18.1","61.0","+10.0"
"52","Emmanuel Sanders","DEN","WR26","5","32","113","54.9","15.0","63.0","+11.0"
"53","Bilal Powell","NYJ","RB20","11","39","94","56.3","12.3","69.0","+16.0"
"54","Andrew Luck","IND","QB4","11","38","93","56.7","8.8","52.0","-2.0"
"55","Danny Woodhead","BAL","RB21","10","26","105","58.0","14.4","82.0","+27.0"
"56","Spencer Ware","KC","RB22","10","27","131","60.4","21.6","51.0","-5.0"
"57","Stefon Diggs","MIN","WR27","9","31","104","61.3","17.7","54.0","-3.0"
"58","Tevin Coleman","ATL","RB23","5","33","99","61.6","14.2","56.0","-2.0"
"59","Matt Ryan","ATL","QB5","5","46","89","62.3","8.4","64.0","+5.0"
"60","Jamison Crowder","WAS","WR28","5","28","173","62.9","22.2","60.0","0.0"
"61","Tyreek Hill","KC","WR29","10","31","142","63.9","20.6","50.0","-11.0"
"62","C.J. Anderson","DEN","RB24","5","33","120","65.2","17.7","59.0","-3.0"
"63","Dalvin Cook","MIN","RB25","9","39","116","66.9","16.9","57.0","-6.0"
"64","Jimmy Graham","SEA","TE5","6","45","115","67.4","16.5","62.0","-2.0"
"65","Russell Wilson","SEA","QB6","6","50","99","67.7","11.9","65.0","0.0"
"66","Willie Snead","NO","WR30","5","43","97","68.9","11.8","66.0","0.0"
"67","Ameer Abdullah","DET","RB26","7","41","111","69.0","13.7","58.0","-9.0"
"68","Donte Moncrief","IND","WR31","11","43","104","69.0","13.9","68.0","0.0"
"69","Martavis Bryant","PIT","WR32","9","41","97","71.1","14.5","47.0","-22.0"
"70","Pierre Garcon","SF","WR33","11","47","138","71.6","16.0","77.0","+7.0"
"71","Brandon Marshall","NYG","WR34","8","31","108","72.4","16.4","67.0","-4.0"
"72","Theo Riddick","DET","RB27","7","33","116","72.7","17.0","76.0","+4.0"
"73","Frank Gore","IND","RB28","11","27","128","73.5","20.3","89.0","+16.0"
"74","Eddie Lacy","SEA","RB29","6","34","134","74.1","17.8","70.0","-4.0"
"75","Tyler Eifert","CIN","TE6","6","34","146","74.2","18.4","85.0","+10.0"
"76","Kyle Rudolph","MIN","TE7","9","45","98","78.5","12.6","78.0","+2.0"
"77","Mike Gillislee","NE","RB30","9","43","145","80.9","22.2","74.0","-3.0"
"78","Kirk Cousins","WAS","QB7","5","58","116","82.3","17.0","95.0","+17.0"
"79","Paul Perkins","NYG","RB31","8","55","140","82.6","16.8","72.0","-7.0"
"80","Delanie Walker","TEN","TE8","8","45","114","82.7","14.9","88.0","+8.0"
"81","Kelvin Benjamin","CAR","WR35","11","52","108","82.8","14.2","71.0","-10.0"
"82","Cameron Meredith","CHI","WR36","9","43","158","86.6","20.0","93.0","+11.0"
"83","Marcus Mariota","TEN","QB8","8","58","127","87.0","16.5","97.0","+14.0"
"84","DeSean Jackson","TB","WR37","11","66","148","88.1","16.3","86.0","+2.0"
"85","Jameis Winston","TB","QB9","11","46","117","88.3","15.3","84.0","-1.0"
"86","Jeremy Maclin","BAL","WR38","10","45","132","86.3","20.4","98.0","+12.0"
"87","Eric Decker","TEN","WR39","8","48","126","90.5","18.6","100.0","+13.0"
"88","Cam Newton","CAR","QB10","11","58","187","93.6","24.1","79.0","-9.0"
"89","Martellus Bennett","GB","TE9","8","70","123","94.4","12.6","90.0","+1.0"
"90","Devante Parker","MIA","WR40","11","62","146","94.6","17.3","87.0","-3.0"
"91","Doug Martin","TB","RB32","11","39","166","94.8","25.6","75.0","-16.0"
"92","Zach Ertz","PHI","TE10","10","57","126","96.5","15.7","99.0","+7.0"
"93","Adrian Peterson","NO","RB33","5","52","164","97.4","24.1","83.0","-10.0"
"94","Derek Carr","OAK","QB11","10","63","127","97.6","17.2","80.0","-14.0"
"95","John Brown","ARI","WR41","8","49","164","98.0","22.0","107.0","+12.0"
"96","Ben Roethlisberger","PIT","QB12","9","69","152","99.2","19.6","103.0","+7.0"
"97","Kenny Britt","CLE","WR42","9","69","150","99.3","19.0","117.0","+20.0"
"98","Eric Ebron","DET","TE11","7","57","146","100.7","18.9","119.0","+21.0"
"99","Randall Cobb","GB","WR43","8","75","132","101.3","14.4","96.0","-3.0"
"100","LeGarrette Blount","PHI","RB34","10","56","187","102.3","23.9","91.0","-9.0"
"101","Corey Coleman","CLE","WR44","9","59","135","102.8","14.5","101.0","0.0"
"102","Dak Prescott","DAL","QB13","6","63","154","104.7","19.8","102.0","0.0"
"103","Philip Rivers","LAC","QB14","9","66","134","105.9","14.7","109.0","+6.0"
"104","C.J. Prosise","SEA","RB35","6","60","163","106.8","24.1","111.0","+7.0"
"105","Jordan Matthews","PHI","WR45","10","75","147","104.2","17.4","112.0","+7.0"
"106","Adam Thielen","MIN","WR46","9","69","147","105.6","18.2","110.0","+4.0"
"107","Mike Wallace","BAL","WR47","10","69","165","105.7","18.1","126.0","+19.0"
"108","Hunter Henry","LAC","TE12","9","77","156","108.8","19.7","92.0","-16.0"
"109","Matthew Stafford","DET","QB15","7","58","191","109.4","26.4","121.0","+12.0"
"110","Jack Doyle","IND","TE13","11","77","141","110.1","11.8","127.0","+17.0"
"111","Duke Johnson","CLE","RB36","9","56","215","108.9","26.4","106.0","-5.0"
"112","Tyrell Williams","LAC","WR48","9","75","178","109.2","23.8","105.0","-7.0"
"113","Matt Forte","NYJ","RB37","11","81","203","112.6","22.7","122.0","+9.0"
"114","Quincy Enunwa","NYJ","WR49","11","65","233","109.5","29.9","116.0","+2.0"
"115","Corey Davis","TEN","WR50","8","48","228","111.9","31.3","81.0","-34.0"
"116","James White","NE","RB38","9","74","167","112.3","23.8","115.0","-1.0"
"117","Tyrod Taylor","BUF","QB16","6","67","152","115.1","22.8","134.0","+17.0"
"118","Kareem Hunt","KC","RB39","10","72","195","116.6","29.2","94.0","-24.0"
"119","Derrick Henry","TEN","RB40","8","85","168","120.0","21.7","73.0","-46.0"
"120","Samaje Perine","WAS","RB41","5","72","232","122.7","29.7","104.0","-16.0"
"121","Eli Manning","NYG","QB17","8","79","152","122.2","15.4","130.0","+9.0"
"122","Kenneth Dixon","BAL","RB42","10","72","180","120.3","24.3","113.0","-9.0"
"123","Rishard Matthews","TEN","WR51","8","70","166","121.0","21.4","125.0","+2.0"
"124","Marvin Jones","DET","WR52","7","78","153","122.1","16.5","118.0","-6.0"
"125","Darren Sproles","PHI","RB43","10","60","230","123.6","34.1","132.0","+7.0"
"126","Jonathan Stewart","CAR","RB44","11","64","174","121.6","22.3","124.0","-2.0"
"127","Andy Dalton","CIN","QB18","6","99","190","128.5","15.7","131.0","+4.0"
"128","Robert Kelley","WAS","RB45","5","74","188","126.9","25.5","108.0","-20.0"
"129","Coby Fleener","NO","TE14","5","87","192","133.1","22.6","144.0","+15.0"
"130","Jason Witten","DAL","TE15","6","107","195","130.7","20.2","181.0","+51.0"
"131","Jamaal Charles","DEN","RB46","5","85","215","132.3","27.3","114.0","-17.0"
"132","Latavius Murray","MIN","RB47","9","82","220","139.8","28.6","123.0","-9.0"
"133","Denver","Broncos","DST1","5","126","245","140.7","20.4","149.0","+16.0"
"134","Breshad Perriman","BAL","WR53","10","107","228","145.2","26.4","135.0","+1.0"
"135","Terrance West","BAL","RB48","10","60","229","138.8","30.2","128.0","-7.0"
"136","Kevin White","CHI","WR54","9","73","251","146.9","36.2","133.0","-3.0"
"137","Giovani Bernard","CIN","RB49","6","96","224","144.4","32.4","143.0","+6.0"
"138","Sterling Shepard","NYG","WR55","8","107","206","144.8","20.1","140.0","+2.0"
"139","Robert Woods","LAR","WR56","8","102","222","144.8","27.0","165.0","+26.0"
"140","Ted Ginn","NO","WR57","5","86","228","143.0","29.6","164.0","+24.0"
"141","Josh Doctson","WAS","WR58","5","108","246","147.0","32.1","137.0","-4.0"
"142","Carson Palmer","ARI","QB19","8","117","188","148.9","15.7","147.0","+5.0"
"143","C.J. Fiedorowicz","HOU","TE16","7","114","213","147.3","27.2","183.0","+40.0"
"144","Blake Bortles","JAC","QB20","8","103","198","147.4","18.3","146.0","+2.0"
"145","Carson Wentz","PHI","QB21","10","121","180","149.9","16.3","138.0","-7.0"
"146","Cameron Brate","TB","TE17","11","107","255","150.9","30.8","178.0","+32.0"
"147","Seattle","Seahawks","DST2","6","129","179","143.7","11.7","163.0","+16.0"
"148","Houston","Texans","DST3","7","133","178","143.9","8.6","159.0","+11.0"
"149","Julius Thomas","MIA","TE18","11","111","204","152.7","22.4","155.0","+6.0"
"150","Alvin Kamara","NO","RB50","5","96","224","149.8","29.1","148.0","-2.0"
"151","Chris Thompson","WAS","RB51","5","85","271","161.2","45.2","156.0","+5.0"
"152","Kansas City","Chiefs","DST4","10","130","186","152.3","13.1","160.0","+8.0"
"153","Austin Hooper","ATL","TE19","5","115","267","160.3","31.2","161.0","+8.0"
"154","Jeremy Hill","CIN","RB52","6","107","231","154.4","29.0","141.0","-13.0"
"155","Tyler Lockett","SEA","WR59","6","112","216","158.2","27.0","157.0","+2.0"
"156","O.J. Howard","TB","TE20","11","115","211","161.4","23.9","120.0","-36.0"
"157","Cole Beasley","DAL","WR60","6","102","235","158.4","31.2","166.0","+9.0"
"158","Antonio Gates","LAC","TE21","9","109","242","161.4","26.1","213.0","+55.0"
"159","Kenny Stills","MIA","WR61","11","98","235","162.1","34.0","173.0","+14.0"
"160","Marqise Lee","JAC","WR62","8","131","218","161.2","24.1","185.0","+25.0"
"161","Thomas Rawls","SEA","RB53","6","100","252","170.4","42.2","145.0","-16.0"
"162","Jamaal Williams","GB","RB54","8","88","235","168.8","44.9","129.0","-33.0"
"163","Zay Jones","BUF","WR63","6","108","254","164.5","27.2","162.0","-1.0"
"164","Ryan Tannehill","MIA","QB22","11","130","199","166.0","14.9","168.0","+4.0"
"165","Dion Lewis","NE","RB55","9","94","232","169.1","36.7","167.0","+2.0"
"166","Minnesota","Vikings","DST5","9","144","188","162.0","12.1","176.0","+10.0"
"167","Arizona","Cardinals","DST6","8","138","228","162.9","17.6","180.0","+13.0"
"168","Joe Flacco","BAL","QB23","10","122","194","169.6","15.1","177.0","+9.0"
"169","Shane Vereen","NYG","RB56","8","101","281","173.5","42.1","229.0","+60.0"
"170","Charles Sims","TB","RB57","11","101","272","173.0","38.2","200.0","+30.0"
"171","John Ross","CIN","WR64","6","97","221","170.0","30.4","136.0","-35.0"
"172","Will Fuller","HOU","WR65","7","136","214","169.8","21.4","175.0","+3.0"
"173","New England","Patriots","DST7","9","142","200","168.5","14.2","171.0","-2.0"
"174","DeAndre Washington","OAK","RB58","10","106","273","177.1","39.6","204.0","+30.0"
"175","Taylor Gabriel","ATL","WR66","5","124","237","176.5","27.4","151.0","-24.0"
"176","Stephen Gostkowski","NE","K1","9","148","190","171.6","7.8","172.0","-4.0"
"177","Jalen Richard","OAK","RB59","10","100","270","179.6","39.5","169.0","-8.0"
"178","Evan Engram","NYG","TE22","8","109","248","181.9","33.6","154.0","-24.0"
"179","Joe Williams","SF","RB60","11","110","241","179.1","38.3","139.0","-40.0"
"180","Justin Tucker","BAL","K2","10","149","246","176.4","19.7","174.0","-6.0"
"181","David Njoku","CLE","TE23","9","136","250","179.9","28.4","170.0","-11.0"
"182","Marlon Mack","IND","RB61","11","115","279","175.9","40.2","152.0","-30.0"
"183","Mohamed Sanu","ATL","WR67","5","122","258","182.9","34.9","205.0","+22.0"
"184","J.J. Nelson","ARI","WR68","8","115","263","185.7","36.7","158.0","-26.0"
"185","T.J. Yeldon","JAC","RB62","8","140","240","179.5","26.3","202.0","+17.0"
"186","Allen Hurns","JAC","WR69","8","108","257","181.8","31.6","182.0","-4.0"
"187","Mike Williams","LAC","WR70","9","112","280","182.0","44.7","142.0","-45.0"
"188","Jacquizz Rodgers","TB","RB63","11","109","246","185.8","35.1","150.0","-38.0"
"189","Zach Miller","CHI","TE24","9","123","270","187.7","41.7","251.0","+62.0"
"190","Charles Clay","BUF","TE25","6","123","264","188.5","33.8","218.0","+28.0"
"191","Sam Bradford","MIN","QB24","9","138","256","182.3","21.5","186.0","-5.0"
"192","Dan Bailey","DAL","K3","6","156","205","179.8","9.9","194.0","+2.0"
"193","Jonathan Williams","BUF","RB64","6","114","272","197.3","40.6","153.0","-40.0"
"194","Jared Cook","OAK","TE26","10","140","255","187.2","27.9","193.0","-1.0"
"195","Rex Burkhead","NE","RB65","9","144","262","195.2","34.6","187.0","-8.0"
"196","Carolina","Panthers","DST8","11","160","217","184.1","13.9","216.0","+20.0"
"197","Alex Smith","KC","QB25","10","137","226","184.8","15.7","207.0","+10.0"
"198","New York","Giants","DST9","8","153","258","183.3","22.2","189.0","-9.0"
"199","Jesse James","PIT","TE27","9","135","248","191.5","27.0","201.0","+2.0"
"200","Tavon Austin","LAR","WR71","8","123","279","199.7","39.3","197.0","-3.0"
"201","Jerick McKinnon","MIN","RB66","9","140","280","193.8","30.0","288.0","+87.0"
"202","Darren McFadden","DAL","RB67","6","121","280","193.2","43.1","190.0","-12.0"
"203","Mason Crosby","GB","K4","8","154","222","185.0","13.2","230.0","+27.0"
"204","Matt Bryant","ATL","K5","5","151","237","188.0","21.9","192.0","-12.0"
"205","Jacksonville","Jaguars","DST10","8","138","237","187.4","22.9","227.0","+22.0"
"206","Los Angeles","Rams","DST11","8","144","217","185.2","14.1","246.0","+40.0"
"207","Robby Anderson","NYJ","WR72","11","135","258","196.2","31.2","249.0","+42.0"
"208","Cooper Kupp","LAR","WR73","8","139","262","200.5","31.6","223.0","+15.0"
"209","Devin Funchess","CAR","WR74","11","141","266","212.3","37.4","239.0","+30.0"
"210","Dwayne Allen","NE","TE28","9","151","269","208.6","39.0","210.0","0.0"
"211","D'Onta Foreman","HOU","RB68","7","144","284","209.3","37.0","195.0","-16.0"
"212","Chris Conley","KC","WR75","10","154","251","199.0","27.2","209.0","-3.0"
"213","Malcolm Mitchell","NE","WR76","9","134","254","197.8","25.5","179.0","-34.0"
"214","Ryan Mathews","PHI","RB69","10","110","279","215.1","46.2","196.0","-18.0"
"215","Adam Vinatieri","IND","K6","11","163","237","197.7","18.8","224.0","+9.0"
"216","Curtis Samuel","CAR","WR77","11","151","266","215.4","36.4","219.0","+3.0"
"217","Devontae Booker","DEN","RB70","5","156","262","213.5","29.8","203.0","-14.0"
"218","Brian Hoyer","SF","QB26","11","148","245","200.1","20.7","214.0","-4.0"
"219","James Conner","PIT","RB71","9","151","277","218.5","40.6","222.0","+3.0"
"220","Steven Hauschka","BUF","K7","6","167","243","202.4","23.0","259.0","+39.0"
"221","Robert Turbin","IND","RB72","11","125","271","205.4","37.0","221.0","0.0"
"222","Jeremy Kerley","SF","WR78","11","160","282","212.9","36.2","314.0","+92.0"
"223","Austin Seferian-Jenkins","NYJ","TE29","11","143","266","216.7","40.1","241.0","+18.0"
"224","Baltimore","Ravens","DST12","10","155","217","197.5","13.9","238.0","+14.0"
"225","Deshaun Watson","HOU","QB27","7","150","256","211.1","26.8","188.0","-37.0"
"226","Mike Glennon","CHI","QB28","9","152","260","215.5","27.0","262.0","+36.0"
"227","Wayne Gallman","NYG","RB73","8","149","282","220.1","45.1","272.0","+45.0"
"228","Kenny Golladay","DET","WR79","7","164","279","223.5","39.1","225.0","-3.0"
"229","Atlanta","Falcons","DST13","5","164","257","219.4","35.8","208.0","-21.0"
"230","Tim Hightower","SF","RB74","11","145","279","228.0","39.3","278.0","+48.0"
"231","Tyler Boyd","CIN","WR80","6","168","271","214.6","29.9","252.0","+21.0"
"232","Torrey Smith","PHI","WR81","10","163","265","217.6","26.1","267.0","+35.0"
"233","Kendall Wright","CHI","WR82","9","139","274","217.8","33.2","308.0","+75.0"
"234","Laquon Treadwell","MIN","WR83","9","164","274","222.3","33.7","184.0","-50.0"
"235","Tyler Higbee","LAR","TE30","8","165","274","227.6","32.6","215.0","-20.0"
"236","Benjamin Watson","BAL","TE31","10","141","269","230.5","37.9","286.0","+50.0"
"237","Philadelphia","Eagles","DST14","10","159","260","215.2","25.9","235.0","-2.0"
"238","JuJu Smith-Schuster","PIT","WR84","9","156","268","230.0","40.1","245.0","+7.0"
"239","Eli Rogers","PIT","WR85","9","164","282","226.2","32.8","319.0","+80.0"
"240","Buffalo","Bills","DST15","6","162","259","222.9","32.5","250.0","+10.0"
"241","A.J. Derby","DEN","TE32","5","147","270","223.0","33.8","",""
"242","Terrance Williams","DAL","WR86","6","150","280","226.2","31.6","303.0","+61.0"
"243","Jared Goff","LAR","QB29","8","144","259","224.9","28.3","236.0","-7.0"
"244","Gary Barnidge","FA","TE33","","114","272","227.6","57.4","311.0","+67.0"
"245","Kyle Juszczyk","SF","RB75","11","159","277","221.2","35.2","",""
"246","Cairo Santos","KC","K8","10","171","265","211.9","19.4","243.0","-3.0"
"247","Oakland","Raiders","DST16","10","175","257","210.2","19.0","240.0","-7.0"
"248","Los Angeles","Chargers","DST17","9","168","264","219.2","27.7","244.0","-4.0"
"249","Pittsburgh","Steelers","DST18","9","177","254","205.5","15.6","234.0","-15.0"
"250","Matt Prater","DET","K9","7","172","241","214.7","18.3","232.0","-18.0"
"251","Dustin Hopkins","WAS","K10","5","163","260","223.8","26.5","237.0","-14.0"
"252","Wendell Smallwood","PHI","RB76","10","168","283","241.5","34.8","217.0","-35.0"
"253","Cincinnati","Bengals","DST19","6","179","260","212.5","20.5","284.0","+31.0"
"254","Trevor Siemian","DEN","QB30","5","154","256","226.7","26.6","254.0","0.0"
"255","Sebastian Janikowski","OAK","K11","10","175","245","216.1","17.0","248.0","-7.0"
"256","Vance McDonald","SF","TE34","11","156","268","224.5","29.1","291.0","+35.0"
"257","Chris Hogan","NE","WR87","9","167","279","231.2","26.9","198.0","-59.0"
"258","Brandon McManus","DEN","K12","5","179","247","218.4","17.4","256.0","-2.0"
"259","Graham Gano","CAR","K13","11","176","243","223.2","19.6","261.0","+2.0"
"260","Nick Novak","HOU","K14","7","177","265","220.1","35.0","263.0","+3.0"
"261","Caleb Sturgis","PHI","K15","10","171","239","209.4","25.0","270.0","+9.0"
"262","Paxton Lynch","DEN","QB31","5","149","260","226.6","41.1","275.0","+13.0"
"263","Chris Ivory","JAC","RB77","8","151","282","228.6","26.3","220.0","-43.0"
"264","Dion Sims","CHI","TE35","9","163","244","198.3","33.9","",""
"265","Josh Reynolds","LAR","WR88","8","169","234","195.0","28.1","",""
"266","Brandon LaFell","CIN","WR89","6","165","279","228.1","32.8","191.0","-75.0"
"267","ArDarius Stewart","NYJ","WR90","11","178","268","227.8","31.2","299.0","+32.0"
"268","DeShone Kizer","CLE","QB32","9","153","261","238.9","35.5","",""
"269","Jermaine Gresham","ARI","TE36","8","180","267","232.5","29.7","309.0","+40.0"
"270","Ladarius Green","FA","TE37","","156","268","224.6","35.2","283.0","+13.0"
"271","Vernon Davis","WAS","TE38","5","173","270","236.4","30.1","297.0","+26.0"
"272","Chandler Catanzaro","NYJ","K16","11","184","247","212.8","25.0","337.0","+65.0"
"273","Tampa Bay","Buccaneers","DST20","11","161","266","233.1","27.6","264.0","-9.0"
"274","Tennessee","Titans","DST21","8","169","266","226.3","32.6","318.0","+44.0"
"275","Miami","Dolphins","DST22","11","166","266","234.5","26.1","281.0","+6.0"
"276","Will Lutz","NO","K17","5","173","261","226.2","21.3","231.0","-45.0"
"277","Andre Ellington","ARI","RB78","8","181","281","240.8","36.7","",""
"278","Paul Richardson","SEA","WR91","6","180","264","232.9","25.6","273.0","-5.0"
"279","Jeremy Langford","CHI","RB79","9","171","283","241.3","29.1","253.0","-26.0"
"280","Lance Kendricks","GB","TE39","8","170","270","227.3","42.1","",""
"281","Dontrelle Inman","LAC","WR92","9","172","275","240.9","29.7","310.0","+29.0"
"282","Taywan Taylor","TEN","WR93","8","172","273","235.2","35.1","",""
"283","Gerald Everett","LAR","TE40","8","172","267","235.7","24.6","257.0","-26.0"
"284","Seth Roberts","OAK","WR94","10","176","280","239.2","29.6","327.0","+43.0"
"285","New York","Jets","DST23","11","187","257","206.9","19.3","325.0","+40.0"
"286","Josh McCown","NYJ","QB33","11","182","261","232.6","22.3","",""
"287","Aaron Jones","GB","RB80","8","178","281","247.8","30.0","290.0","+3.0"
"288","Albert Wilson","KC","WR95","10","178","271","233.6","32.4","",""
"289","Ryan Succop","TEN","K18","8","179","245","212.0","33.0","336.0","+47.0"
"290","Chris Boswell","PIT","K19","9","180","247","232.2","16.3","255.0","-35.0"
"291","Aldrick Robinson","SF","WR96","11","181","254","216.3","27.9","",""
"292","Green Bay","Packers","DST24","8","187","256","220.9","18.0","289.0","-3.0"
"293","Zach Zenner","DET","RB81","7","181","281","235.3","23.6","211.0","-82.0"
"294","Anquan Boldin","FA","WR97","","181","274","242.5","36.2","307.0","+13.0"
"295","Carlos Henderson","DEN","WR98","5","182","268","235.0","32.2","228.0","-67.0"
"296","Roberto Aguayo","TB","K20","11","182","265","238.4","20.9","266.0","-30.0"
"297","Kenyan Drake","MIA","RB82","11","185","282","235.4","31.2","206.0","-91.0"
"298","Tajae Sharpe","TEN","WR99","8","186","269","241.1","27.2","260.0","-38.0"
"299","Donnel Pumphrey","PHI","RB83","10","187","285","256.4","29.1","",""
"300","Damien Williams","MIA","RB84","11","187","280","251.4","29.8","324.0","+24.0"
"301","Kamar Aiken","IND","WR100","11","188","274","244.5","25.9","276.0","-25.0"
"302","Jermaine Kearse","SEA","WR101","6","189","278","246.8","26.5","293.0","-9.0"
"303","Chris Godwin","TB","WR102","11","190","275","241.2","30.1","212.0","-91.0"
"304","Erik Swoope","IND","TE41","11","191","268","235.1","28.1","274.0","-30.0"
"305","Lance Dunbar","LAR","RB85","8","192","281","248.2","25.7","305.0","0.0"
"306","Branden Oliver","LAC","RB86","9","195","280","243.7","29.7","301.0","-5.0"
"307","Jeremy McNichols","TB","RB87","11","192","281","247.2","26.4","226.0","-81.0"
"308","Cody Kessler","CLE","QB34","9","192","260","228.6","22.3","335.0","+27.0"
"309","Phillip Dorsett","IND","WR103","11","193","279","240.4","23.4","313.0","+4.0"
"310","Nelson Agholor","PHI","WR104","10","193","277","237.2","26.9","316.0","+6.0"
"311","Chad Williams","ARI","WR105","8","193","277","229.5","33.4","",""
"312","Travis Benjamin","LAC","WR106","9","194","279","231.5","26.2","277.0","-35.0"
"313","Detroit","Lions","DST25","7","194","260","236.5","20.3","333.0","+20.0"
"314","Marquise Goodwin","SF","WR107","11","195","281","238.9","30.8","312.0","-2.0"
"315","Brock Osweiler","CLE","QB35","9","196","229","212.5","16.5","334.0","+19.0"
"316","Jake Butt","DEN","TE42","5","198","268","242.7","31.7","",""
"317","Jordan Leggett","NYJ","TE43","11","198","255","226.5","25.2","",""
"318","Maxx Williams","BAL","TE44","10","199","263","229.8","26.9","",""
"319","Crockett Gillmore","BAL","TE45","10","199","250","232.0","23.4","",""
"320","Braxton Miller","HOU","WR108","7","199","212","205.5","6.5","271.0","-49.0"
"321","Charcandrick West","KC","RB88","10","200","282","254.2","27.1","302.0","-19.0"
"322","Michael Floyd","MIN","WR109","9","203","278","235.5","21.9","322.0","0.0"
"323","Dorial Green-Beckham","FA","WR110","","203","256","229.5","26.5","341.0","+18.0"
"324","Will Tye","NYG","TE46","8","204","273","252.7","23.1","",""
"325","Blair Walsh","SEA","K21","6","205","267","242.8","20.1","269.0","-56.0"
"326","Andre Holmes","BUF","WR111","6","206","273","257.8","26.0","",""
