"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","2","1.4","0.5","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","2","1.6","0.5","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","3","5","3.2","0.5","3.0","0.0"
"4","Odell Beckham Jr.","NYG","WR2","8","4","10","5.5","1.0","5.0","+1.0"
"5","Ezekiel Elliott","DAL","RB3","6","3","15","5.6","2.6","4.0","-1.0"
"6","Julio Jones","ATL","WR3","5","3","13","5.6","2.4","6.0","0.0"
"7","LeSean McCoy","BUF","RB4","6","4","14","8.4","2.1","10.0","+3.0"
"8","Mike Evans","TB","WR4","11","5","14","8.5","2.3","7.0","-1.0"
"9","A.J. Green","CIN","WR5","6","5","14","8.5","2.0","8.0","-1.0"
"10","Melvin Gordon","LAC","RB5","9","6","17","10.3","2.4","9.0","-1.0"
"11","Jordy Nelson","GB","WR6","8","6","18","11.6","3.0","13.0","+2.0"
"12","Devonta Freeman","ATL","RB6","5","8","18","12.4","2.6","11.0","-1.0"
"13","Michael Thomas","NO","WR7","5","7","22","14.3","3.0","12.0","-1.0"
"14","T.Y. Hilton","IND","WR8","11","9","24","15.2","3.2","14.0","0.0"
"15","Jay Ajayi","MIA","RB7","11","9","27","15.6","4.8","16.0","+1.0"
"16","DeMarco Murray","TEN","RB8","8","10","23","15.7","3.8","20.0","+4.0"
"17","Jordan Howard","CHI","RB9","9","9","44","18.1","7.0","15.0","-2.0"
"18","Dez Bryant","DAL","WR9","6","11","26","18.6","3.9","19.0","+1.0"
"19","Doug Baldwin","SEA","WR10","6","13","29","19.5","3.2","26.0","+7.0"
"20","Amari Cooper","OAK","WR11","10","11","29","20.4","4.1","17.0","-3.0"
"21","DeAndre Hopkins","HOU","WR12","7","16","43","23.6","6.2","24.0","+3.0"
"22","Rob Gronkowski","NE","TE1","9","14","66","24.1","10.3","21.0","-1.0"
"23","Demaryius Thomas","DEN","WR13","5","18","43","25.7","5.4","30.0","+7.0"
"24","Todd Gurley","LAR","RB10","8","12","51","25.8","7.1","18.0","-6.0"
"25","Allen Robinson","JAC","WR14","8","19","51","29.4","6.8","28.0","+3.0"
"26","Lamar Miller","HOU","RB11","7","12","60","31.1","10.6","27.0","+1.0"
"27","Leonard Fournette","JAC","RB12","8","18","54","32.4","7.0","22.0","-5.0"
"28","Keenan Allen","LAC","WR15","9","15","62","32.7","10.0","33.0","+5.0"
"29","Isaiah Crowell","CLE","RB13","9","17","61","32.8","9.7","35.0","+6.0"
"30","Alshon Jeffery","PHI","WR16","10","20","49","32.9","7.3","38.0","+8.0"
"31","Travis Kelce","KC","TE2","10","17","57","34.0","8.0","31.0","0.0"
"32","Brandin Cooks","NE","WR17","9","20","62","34.1","11.1","25.0","-7.0"
"33","Aaron Rodgers","GB","QB1","8","33","47","35.8","3.1","23.0","-10.0"
"34","Davante Adams","GB","WR18","8","16","70","37.7","13.7","40.0","+6.0"
