"Davante Adams","After many wrote him off after his first two seasons - Adams has top-three wide receiver in his range of possibilities in 2018. I mean - the guy finished as a top-12 wide receiver with Brett Hundley starting the majority of the season. He'll now be the No. 1 wide receiver for Aaron Rodgers - which makes him as safe as they come at the position. He's scored 17 touchdowns in his last 22 games with Rodgers under center."
"Dalvin Cook","After totaling 71 touches over the first three games - Cook didn't get to show us much of a sample size - though what we did see looked promising. One downfall is that Pat Shurmur is no longer calling plays for the Vikings - though some are excited to see what Joe DiFilippo can do in that role. Still - the defense is as good as ever - which is only good news for Cook's projected attempts. After analyzing the strength of schedule in our own way - Cook had the best schedule among all running backs."
"Leonard Fournette","If we could guarantee that Fournette would stay on the field for all 16 games - he'd be worthy of a top-five pick - but his foot troubles are a concern. Not only did Blake Bortles start to play competently toward the end of the season - but the Jaguars added Andrew Norwell in free agency - who is one of the best offensive guards in football. Fournette should see some lighter fronts en route to another top-10 finish."
"Doug Baldwin","While everyone seems to be foaming at the mouth to draft Rashaad Penny - it's Baldwin who is the most valuable asset on the Seahawks roster. It's rare to find a wide receiver who is as underappreciated as Baldwin - who has now finished as a top-13 wide receiver in each of the last three seasons. Not only has he averaged 1062.7 yards in that span - but he's scored 29 touchdowns - and that was with Jimmy Graham on the roster. I shouldn't have to remind you that Graham is gone - and the Seahawks didn't add a wide receiver of significance to replace Paul Richardson. Baldwin is a low-end WR1 with upside."
"Christian McCaffrey","The signing of C.J. Anderson most definitely hurt McCaffrey's upside in the Panthers offense - but they weren't going to give him 200 carries regardless of that. He's not designed to handle that type of work and Ron Rivera has acknowledged that. It also doesn't help that Greg Olsen is back to soak up a lot of targets (averaged 125 targets/year prior to getting hurt in 2017) - as is newly-drafted D.J. Moore. While they won't erase what McCaffrey has done for this offense - it's unlikely he sees 113 targets again. Think of him as an Alvin Kamara-lite version whose ceiling may be around the RB10 range in standard formats."
"Jerick McKinnon","No matter how you feel about McKinnon's talent - the 49ers have told you everything you need to know when they paid him $30 million over four years. You should know that the 49ers could get out of the contract after one year with just a $1.5 million cap hit in 2019 - but that's not why you sign someone like him. They also passed on a lot of running backs in the draft - showing confidence in the guys on the roster. He's never been great on first- and second-down - but unless you believe Matt Breida or Joe Williams is going to walk into 15 carries per game - you need to rank McKinnon aggressively. He figures to be the Devonta Freeman of Kyle Shanahan's offense - which we know is extremely valuable."
"Mike Evans","Anyone who drafted Evans last year has a bad taste in their mouth - though we've always said that touchdowns are the hardest thing to predict - even when you're 6-foot-5 and 231 pounds. Evans now has two 12 touchdown seasons under his belt - but the other two netted a combined eight touchdowns. Still - he's now produced 1000 yards in each of his four seasons - which is something you need to value. If Jameis Winston takes a step forward in his career - Evans could be right back in the first-round conversation next year."
"Rob Gronkowski","It's not a clear-cut situation anymore with Gronkowski atop the tight end board - though I've kept him there myself. While the Patriots got rid of Brandin Cooks - the Chiefs and Travis Kelce added Sammy Watkins to further cloudy the target situation. Gronkowski is one of the few tight ends you can put down in marker that he'll see 100-plus targets if healthy - and he just happens to play with one of the greatest quarterbacks of all-time. He gives you an advantage at the most unpredictable position in fantasy."
"Devonta Freeman","Freeman has lost some of his luster with Tevin Coleman becoming more and more involved - but he's still a fantasy producer. The reason to be pessimistic about him - though - is that he received 12 or fewer carries in eight of his final 10 games in 2017. That's going to make it tough to produce as the top-10 running back that he is - though his work in the receiving game helps. He doesn't have top-three upside as long as Coleman is healthy - but he'll likely produce as an RB2 or better the majority of time."
"Adam Thielen","Most don't realize how much of an effect that Pat Shurmur had on Thielen's career - as he catapulted him into a household fantasy name. He was 26 years old when he broke out - something that doesn't happen all that often. The move to John DiFilippo will change some things - as will the move to Kirk Cousins - who has taken more chances down the field than game-manager Case Keenum did. That would play more into Stefon Diggs' skill-set rather than Thielen's. I do expect him to be a reliable fantasy producer - but he's not going to finish with 143 targets again."
"Larry Fitzgerald","I'm done trying to predict when father time will catch up with Fitzgerald - as it seemed like he was on his way out in 2014 - only he has since posted WR11 - WR17 - and WR9 seasons (in standard formats). The quarterback position arguably upgraded with Sam Bradford and Josh Rosen this offseason - though the offense is going to look different under head coach Steve Wilks. There's still not another player on this team who sniffs Fitzgerald's level of talent at wide receiver - so I'd fully expect another top-24 season out of him."
"Travis Kelce","While some will try to make the argument for Kelce over Rob Gronkowski - I won't be one of them - simply because the Chiefs now have an abundance of offensive weapons that are going to need touches. They signed Sammy Watkins for nearly $50 million - which tells you how much they wanted him - and Tyreek Hill has remained as efficient as ever - so it's hard to argue that you should take targets away from him. Ultimately - I still love Kelce as an asset - but he's lost some of the upside he presented in 2017 - which still had him finish eight points behind Gronkowski... and he played one more game than Gronkowski did - too."
"T.Y. Hilton","It's very possible that Hilton moves down depending on how Andrew Luck looks this preseason (really hoping to see him play in those weeks) - but I'm remaining optimistic for the time-being. During the time he played with Luck - Hilton finished in-between the WR5 and WR24 range every season. He's not someone you draft for consistency - however - as he's posted WR2 or better numbers in just 42.6 percent of his career games."
"Stefon Diggs","The addition of Kirk Cousins has everyone excited - though the one who should be most excited is Diggs - who might see more targets float his way. After playing with Case Keenum - who was more of a game manager - Diggs should be more of a field stretcher for Cousins - as he can create separation at every level of the field. Meanwhile - Adam Thielen had a boost in production under Pat Shurmur - who is now gone. As of now - Thielen is going earlier than Diggs in drafts - but it really should be the other way around. Take the discount on Diggs and pass on Thielen."
"Tyreek Hill","It's clear that Tyreek Hill is among the most efficient wide receivers in the game - as his 11.3 yards per target in 2017 ranked first in the league among those with 70 or more targets. Not just that - but the closest player to him was Marvin Jones at 10.3 YPT (a whopping 9 percent difference). That number came up quite a bit from his 2016 total that was at 7.1 yards per target - so you might want to dial back those large expectations. The addition of Sammy Watkins isn't going to help him gain a higher target share - either - as they paid Watkins a generous $50 million. As high as you might be on Pat Mahomes - it's going to be incredibly hard for him to top Alex Smith's MVP-caliber 2017 season. There's regression coming for Hill - but his price does not reflect that."
"Demaryius Thomas","It's become the cool thing to avoid Thomas in drafts - and there's good reason for that. He's been trending in the wrong direction since Peyton Manning retired - finishing as the WR13 - WR19 - and then the WR23 in 2017. The impressive part is his consistency - despite the inconsistency from the quarterback position. The addition of Case Keenum will help more than it'll hurt - so find it in your heart to welcome Thomas into your WR2 slot - as he offers more safety than most taken in this range."
