"Player","Team","RECs","Rec-YDs","Rec-TDs","Rush-ATTs","Rush-YDs","Rush-TDs","FumLost","FPTS"
"Paul Richardson","WAS","41.9","578.9","3.0","0.1","0.3","0.0","0.3","117.2"
"Mike Wallace","PHI","36.8","564.1","3.7","0.5","2.5","0.0","0.3","114.9"
"Ryan Grant","IND","39.9","517.3","3.6","0.0","0.0","0.0","0.2","112.8"
"Terrance Williams","DAL","42.7","520.4","2.9","1.2","6.4","0.0","0.3","112.4"
"Keelan Cole","JAC","34.7","571.2","3.4","0.0","-0.1","0.0","0.6","111.2"
"Courtland Sutton","DEN","40.8","503.9","2.9","0.0","0.0","0.0","0.4","108.0"
"Mike Williams","LAC","39.3","463.8","3.3","0.0","0.0","0.0","0.2","104.9"
"Corey Coleman","BUF","36.5","492.1","3.0","0.2","1.8","0.0","0.3","103.4"
"Anthony Miller","CHI","39.2","481.1","2.6","0.0","0.0","0.0","0.4","102.3"
"Travis Benjamin","LAC","32.0","500.9","3.0","5.0","32.0","0.1","0.6","102.2"
"Cole Beasley","DAL","42.8","426.6","2.6","0.1","0.2","0.0","0.2","100.8"
"Donte Moncrief","JAC","33.2","451.3","3.7","0.1","0.7","0.0","0.2","99.9"
"Dede Westbrook","JAC","38.0","448.7","2.7","0.0","0.0","0.0","0.2","98.5"
"Michael Gallup","DAL","37.1","441.0","2.9","0.0","0.0","0.0","0.4","98.1"
"Albert Wilson","MIA","38.3","448.2","2.3","1.6","10.1","0.1","0.2","98.0"
"Brandon Marshall","SEA","36.5","435.5","2.8","0.0","0.3","0.0","0.2","96.5"
"Geronimo Allison","GB","35.7","444.0","3.0","0.0","0.0","0.0","0.8","96.5"
"Willie Snead","BAL","40.6","415.9","1.9","0.0","0.0","0.0","0.5","92.5"
"Adam Humphries","TB","37.3","430.1","2.0","0.9","5.2","0.0","0.5","91.6"
"James Washington","PIT","28.8","439.7","2.7","0.0","0.0","0.0","0.4","88.5"
"Trent Taylor","SF","35.2","412.0","2.3","0.0","0.0","0.0","0.9","88.4"
"Taywan Taylor","TEN","33.4","392.8","2.2","3.5","19.5","0.1","0.2","87.6"
"J.J. Nelson","ARI","28.6","443.0","2.4","2.1","13.4","0.0","0.7","87.3"
"Terrelle Pryor","NYJ","34.4","401.4","2.0","0.6","4.5","0.0","0.2","86.6"
"Chester Rogers","IND","31.3","401.2","2.1","1.7","8.7","0.0","0.2","84.7"
"Christian Kirk","ARI","32.5","401.8","2.1","0.3","1.0","0.0","0.3","84.4"
"Tyler Boyd","CIN","31.6","399.8","2.2","0.4","3.3","0.0","0.4","84.4"
"Taylor Gabriel","CHI","29.6","376.2","2.0","1.8","10.8","0.0","0.2","79.7"
"Kendall Wright","MIN","31.4","372.5","1.9","0.0","0.0","0.0","0.2","79.4"
"Antonio Callaway","CLE","30.2","361.7","2.0","0.0","0.0","0.0","0.4","77.9"
"Tre'Quan Smith","NO","28.5","343.1","2.2","0.0","0.0","0.0","0.5","75.2"
"Zay Jones","BUF","28.8","348.3","2.0","0.0","0.2","0.0","0.2","75.1"
"Brice Butler","ARI","25.2","355.7","2.2","0.0","0.0","0.0","0.2","73.6"
"Seth Roberts","OAK","31.3","327.5","1.7","0.0","0.0","0.0","1.2","71.7"
"Eric Decker","NE","26.9","299.2","2.0","0.0","0.0","0.0","0.1","68.5"
"Torrey Smith","CAR","24.5","329.9","1.9","0.4","1.2","0.0","0.2","68.5"
"Jaron Brown","SEA","21.8","306.9","2.4","0.0","0.0","0.0","0.2","66.5"
"Curtis Samuel","CAR","24.9","266.9","1.4","6.0","36.2","0.1","0.3","63.8"
"Bruce Ellington","HOU","23.4","313.8","1.5","0.7","3.6","0.0","0.4","63.3"
"TJ Jones","DET","23.1","305.0","1.6","0.0","0.0","0.0","0.2","62.9"
"Laquon Treadwell","MIN","23.7","271.7","1.6","0.0","0.0","0.0","0.2","60.1"
"Tavon Austin","DAL","22.5","207.8","0.7","21.9","132.2","0.8","2.7","60.0"
"Cody Latimer","NYG","21.5","279.7","1.4","0.0","0.0","0.0","0.3","57.4"
"Chad Williams","ARI","22.9","250.8","1.3","1.5","8.9","0.0","0.3","56.5"
"Cordarrelle Patterson","NE","19.4","213.7","1.1","8.5","63.3","0.6","0.4","56.4"
"Chris Conley","KC","20.5","272.1","1.4","0.0","0.0","0.0","0.2","55.5"
"Keke Coutee","HOU","20.6","265.6","1.4","0.0","0.0","0.0","0.4","54.7"
"Jeremy Kerley","BUF","22.3","251.8","1.1","0.0","0.0","0.0","0.7","52.7"
"Dante Pettis","SF","18.5","250.4","1.3","0.0","0.0","0.0","0.3","50.4"
"Mack Hollins","PHI","18.1","239.1","1.5","0.0","0.0","0.0","0.3","50.3"
"Phillip Dorsett","NE","17.5","238.8","1.4","0.3","1.7","0.0","0.2","49.7"
"Kenny Britt","NE","15.6","227.9","1.7","0.0","0.0","0.0","0.2","48.2"
