"Player","Team","Rush-ATTs","Rush-YDs","Rush-TDs","RECs","Rec-YDs","Rec-TDs","FumLost","FPTS"
"Kyle Juszczyk","SF","9.0","32.2","0.2","30.1","268.3","1.1","1.5","65.1"
"Chase Edmonds","ARI","59.3","213.3","1.5","18.8","130.9","0.3","0.6","62.6"
"Charles Sims","TB","35.7","125.9","0.5","24.1","193.8","0.6","0.7","61.5"
"Rod Smith","DAL","49.4","221.7","1.9","11.9","123.8","0.7","0.6","60.5"
"Jalen Richard","OAK","40.6","164.5","1.2","19.8","155.1","0.6","1.2","59.8"
"Jordan Wilkins","IND","78.9","276.6","1.8","11.5","84.7","0.4","0.7","59.3"
"C.J. Prosise","SEA","37.7","138.0","0.9","18.0","187.9","0.6","0.5","58.6"
"Corey Grant","JAC","58.1","232.1","1.7","12.9","96.4","0.4","0.8","56.8"
"Elijah McGuire","NYJ","50.8","172.3","1.0","15.4","126.4","0.5","0.9","52.8"
"Jonathan Stewart","NYG","63.6","257.7","2.1","8.2","52.0","0.2","0.5","52.1"
"Tavon Austin","DAL","28.4","134.9","0.9","16.9","105.3","0.7","0.1","50.4"
"Travaris Cadet","BUF","40.8","159.9","0.9","13.3","100.9","0.4","0.4","46.3"
"Alfred Blue","HOU","42.2","203.7","1.1","8.1","80.1","0.3","0.5","43.9"
"De'Angelo Henderson","DEN","50.8","191.9","0.8","9.3","86.5","0.6","1.2","43.4"
"James Conner","PIT","57.0","214.8","1.6","6.2","39.8","0.2","0.6","41.2"
"J.D. McKissic","SEA","17.2","70.4","0.2","16.9","135.8","0.3","0.0","40.2"
"Kapri Bibbs","WAS","14.7","96.2","0.6","11.7","121.8","0.6","0.4","39.9"
"Kalen Ballage","MIA","39.6","152.7","0.9","10.3","76.0","0.3","0.7","38.9"
"Jeremy Hill","NE","48.1","187.9","2.0","4.4","33.0","0.1","0.2","38.3"
"John Kelly","LAR","50.2","194.3","1.0","6.2","53.6","0.2","0.3","38.0"
"Joe Williams","SF","41.3","147.5","1.1","8.8","68.1","0.3","0.3","37.6"
"DeAndre Washington","OAK","27.3","99.5","0.7","11.1","80.2","0.5","0.2","36.0"
"Christine Michael","IND","26.8","130.4","0.8","9.6","56.7","0.3","0.4","34.3"
"Malcolm Brown","LAR","45.9","186.8","1.1","5.7","42.4","0.1","0.8","34.3"
"Robert Turbin","IND","37.5","132.4","1.0","7.8","62.7","0.2","0.4","33.7"
"Shane Vereen","NO","16.1","99.5","0.7","9.1","91.5","0.3","0.3","33.5"
"Ameer Abdullah","DET","33.8","118.2","0.9","8.2","61.9","0.3","0.3","32.8"
"Cameron Artis-Payne","CAR","38.1","153.2","1.0","7.3","47.9","0.2","1.1","32.2"
"T.J. Logan","ARI","26.6","121.2","0.7","8.9","56.4","0.2","0.2","32.1"
"Terrance West","NO","25.6","150.9","1.4","3.8","39.4","0.2","0.5","31.4"
"Justin Jackson","LAC","31.3","132.8","0.8","5.9","51.0","0.2","0.3","30.0"
"Mike Davis","SEA","35.5","125.4","0.6","8.2","63.7","0.1","1.1","28.7"
"Mark Walton","CIN","32.3","136.8","0.7","5.8","54.4","0.2","0.9","28.5"
"Elijhaa Penny","ARI","18.2","98.8","0.8","8.0","56.4","0.1","0.3","28.3"
"Thomas Rawls","NYJ","41.6","145.7","0.9","4.9","40.4","0.1","0.8","27.8"
"Charcandrick West","KC","10.0","45.5","0.4","9.8","81.4","0.4","0.2","26.7"
"Mike Gillislee","NE","24.9","101.0","1.0","4.9","41.5","0.2","0.3","26.2"
"Jacquizz Rodgers","TB","34.6","121.7","0.8","5.1","35.5","0.1","0.2","25.8"
"Jaylen Samuels","PIT","20.7","81.4","0.5","7.6","59.4","0.2","0.1","25.6"
"Benny Cunningham","CHI","11.0","35.7","0.1","8.5","95.2","0.4","0.2","24.2"
"Jeremy McNichols","SF","17.1","67.5","0.4","8.8","54.9","0.2","0.3","24.1"
"Damien Williams","KC","13.0","66.1","0.5","5.3","65.0","0.4","0.2","22.9"
"Jonathan Williams","NO","25.2","89.7","0.8","5.4","43.4","0.0","0.9","21.5"
"Bo Scarbrough","DAL","25.3","107.0","0.6","3.0","33.5","0.2","0.3","21.0"
"Troymaine Pope","HOU","10.5","76.3","0.5","5.1","40.6","0.1","0.3","19.9"
"Tyler Ervin","HOU","18.1","63.3","0.4","6.0","48.6","0.1","0.3","19.6"
"Alex Armah","CAR","13.9","61.0","0.1","6.4","47.8","0.0","0.0","18.3"
"Boston Scott","NO","19.8","82.1","0.7","2.6","21.0","0.1","0.1","17.8"
"Ito Smith","ATL","20.3","85.8","0.3","3.3","27.5","0.1","0.2","16.9"
"Aaron Ripkowski","GB","8.6","30.9","0.2","6.9","47.2","0.2","0.1","16.9"
"Brandon Wilds","JAC","10.7","61.9","0.4","4.6","32.4","0.1","0.3","16.2"
"D.J. Foster","ARI","8.3","28.0","0.0","6.6","49.0","0.3","0.2","15.8"
"CJ Ham","MIN","11.1","44.1","0.2","5.2","41.9","0.1","0.0","15.7"
"Alfred Morris","SF","9.4","83.6","0.5","2.6","17.9","0.0","0.2","15.6"
"Trey Williams","DAL","8.5","50.5","0.4","4.4","34.5","0.1","0.2","15.5"
"Matt Jones","PHI","16.0","69.7","0.5","3.4","23.6","0.1","0.4","15.4"
"Mack Brown","MIN","11.8","59.1","0.3","4.0","28.8","0.1","0.2","15.0"
"Wendell Smallwood","PHI","15.1","62.0","0.4","3.5","30.4","0.1","0.3","14.9"
"Tommy Bohanon","JAC","4.6","16.6","0.6","4.6","38.3","0.2","0.0","14.7"
"Trenton Cannon","NYJ","10.0","68.2","0.5","2.0","27.6","0.1","0.2","14.7"
"Marcus Murphy","BUF","10.3","45.6","0.3","4.2","29.6","0.1","0.0","13.8"
"Dwayne Washington","DET","13.6","44.3","0.2","4.3","34.8","0.1","0.2","13.8"
