"Player","Team","RECs","Rec-YDs","Rec-TDs","FumLost","FPTS"
"C.J. Uzomah","CIN","6.8","64.4","0.2","0.1","14.0"
"Xavier Grimble","PIT","5.8","54.0","0.5","0.1","14.0"
"Cole Wick","SF","5.3","56.4","0.5","0.0","13.8"
"Lee Smith","OAK","6.5","57.7","0.2","0.1","13.5"
"Jerell Adams","NYG","5.9","62.1","0.2","0.0","13.3"
"Jace Amaro","KC","4.9","53.8","0.5","0.0","13.1"
"Cole Hikutini","SF","4.7","57.3","0.4","0.0","13.0"
"Troy Fumagalli","DEN","5.6","57.4","0.3","0.1","13.0"
"MyCole Pruitt","HOU","5.1","54.6","0.3","0.0","12.6"
"Antony Auclair","TB","4.7","49.4","0.5","0.1","12.3"
"Ryan Izzo","MIN","5.0","48.0","0.4","0.0","12.2"
"Tyler Conklin","NE","5.3","60.7","0.1","0.0","12.2"
"Luke Stocker","TEN","5.1","40.5","0.5","0.1","12.0"
"Alex Ellis","KC","4.9","49.5","0.3","0.0","11.9"
"Logan Paulsen","ATL","4.9","48.3","0.4","0.1","11.9"
"John Phillips","NO","5.0","40.0","0.5","0.1","11.8"
"Henry Krieger Coble","LAR","4.5","49.1","0.4","0.0","11.7"
"Hakeem Valles","DET","4.7","42.3","0.4","0.0","11.5"
"Jeremy Sprinkle","WAS","4.5","46.7","0.4","0.1","11.4"
"Michael Hoomanawanui","NO","4.4","44.1","0.4","0.1","11.2"
"Gabe Holmes","ARI","4.5","46.6","0.3","0.0","11.2"
"Alan Cross","TB","4.3","47.8","0.3","0.0","11.1"
"Garrett Griffin","NO","5.1","38.8","0.3","0.0","11.0"
"Gavin Escobar","MIA","4.0","41.5","0.5","0.1","11.0"
"Khari Lee","BUF","4.4","39.0","0.4","0.0","10.7"
"Temarrick Hemingway","LAR","4.0","44.8","0.4","0.1","10.5"
"Daniel Brown","CHI","4.4","47.4","0.2","0.1","10.3"
"Blake Bell","MIN","4.4","45.8","0.3","0.1","10.3"
"Cethan Carter","CIN","4.0","43.3","0.3","0.0","10.2"
"Jordan Thomas","HOU","4.0","40.0","0.3","0.0","9.8"
"Mason Schreck","CIN","4.0","35.0","0.3","0.0","9.3"
"Chris Manhertz","CAR","4.2","37.8","0.2","0.0","9.3"
"Bucky Hodges","PIT","4.0","34.0","0.3","0.0","9.2"
"Will Tye","NE","4.6","37.1","0.2","0.0","9.2"
"Ben Braunecker","CHI","3.5","37.4","0.3","0.1","8.6"
"Orson Charles","CLE","3.5","42.5","0.1","0.0","8.4"
"Ross Travis","IND","3.6","35.1","0.1","0.1","7.8"
"Darrell Daniels","IND","3.2","30.2","0.2","0.1","7.0"
"Ryan Hewitt","CIN","2.0","19.0","0.0","0.1","3.7"
"Jaylen Samuels","PIT","0.0","92.1","0.5","0.6","0.0"
