"Rank","Player","Team","Bye","POS","ESPN","MFL","FFC","RTSports","Fantrax","DW","AVG"
"1","Todd Gurley","LAR","12","RB1","2","1","1","1","1","","1.2"
"2","Le'Veon Bell","PIT","7","RB2","1","3","2","2","2","","2.0"
"3","David Johnson","ARI","9","RB3","3","4","4","3","3","","3.4"
"4","Ezekiel Elliott","DAL","8","RB4","4","2","3","4","5","","3.6"
"5","Antonio Brown","PIT","7","WR1","5","7","5","6","4","","5.4"
"6","Alvin Kamara","NO","6","RB5","6","8","6","5","6","","6.2"
"7","Saquon Barkley","NYG","9","RB6","7","5","7","9","8","","7.2"
"8","DeAndre Hopkins","HOU","10","WR2","8","6","8","7","7","","7.2"
"9","Kareem Hunt","KC","12","RB7","10","10","11","8","10","","9.8"
"10","Odell Beckham Jr.","NYG","9","WR3","12","9","10","11","9","","10.2"
"11","Melvin Gordon","LAC","8","RB8","13","14","9","10","11","","11.4"
"12","Leonard Fournette","JAC","9","RB9","11","11","12","12","12","","11.6"
"13","Julio Jones","ATL","8","WR4","9","15","13","14","13","","12.8"
"14","Dalvin Cook","MIN","10","RB10","14","13","14","13","15","","13.8"
"15","Michael Thomas","NO","6","WR5","16","12","15","15","14","","14.4"
"16","Keenan Allen","LAC","8","WR6","15","16","16","17","16","","16.0"
"17","Christian McCaffrey","CAR","4","RB11","20","19","18","16","17","","18.0"
"18","A.J. Green","CIN","9","WR7","18","20","20","18","19","","19.0"
"19","Davante Adams","GB","7","WR8","21","18","19","20","18","","19.2"
"20","Devonta Freeman","ATL","8","RB12","22","23","17","19","22","","20.6"
"21","Mike Evans","TB","5","WR9","24","17","22","22","21","","21.2"
"22","Rob Gronkowski","NE","11","TE1","19","26","23","23","26","","23.4"
"23","LeSean McCoy","BUF","11","RB13","17","38","24","21","20","","24.0"
"24","Jerick McKinnon","SF","11","RB14","28","25","21","24","23","","24.2"
"25","Travis Kelce","KC","12","TE2","26","24","30","26","29","","27.0"
"26","Joe Mixon","CIN","9","RB15","36","22","26","25","27","","27.2"
"27","Tyreek Hill","KC","12","WR10","27","27","32","27","25","","27.6"
"28","Jordan Howard","CHI","5","RB16","30","31","27","28","24","","28.0"
"29","Adam Thielen","MIN","10","WR11","25","35","29","29","28","","29.2"
"30","Aaron Rodgers","GB","7","QB1","23","21","36","34","36","","30.0"
"31","Doug Baldwin","SEA","7","WR12","34","37","25","30","30","","31.2"
"32","T.Y. Hilton","IND","9","WR13","31","41","31","33","31","","33.4"
"33","Zach Ertz","PHI","9","TE3","32","34","37","31","33","","33.4"
"34","Stefon Diggs","MIN","10","WR14","35","29","35","39","32","","34.0"
"35","Josh Gordon","CLE","11","WR15","37","44","28","40","40","","37.8"
