"Rank","Player","Team","Bye","POS","ESPN","MFL","FFC","RTSports","Fantrax","DW","AVG"
"36","Amari Cooper","OAK","7","WR16","48","30","40","36","38","","38.4"
"37","Larry Fitzgerald","ARI","9","WR17","33","57","33","35","34","","38.4"
"38","Derrius Guice","WAS","4","RB17","40","33","34","37","53","","39.4"
"39","Derrick Henry","TEN","8","RB18","47","49","38","38","35","","41.4"
"40","Kenyan Drake","MIA","11","RB19","41","52","46","32","39","","42.0"
"41","Allen Robinson","CHI","5","WR18","43","36","45","49","42","","43.0"
"42","Rashaad Penny","SEA","7","RB20","39","40","41","51","45","","43.2"
"43","Deshaun Watson","HOU","10","QB2","44","28","49","50","55","","45.2"
"44","JuJu Smith-Schuster","PIT","7","WR19","45","42","44","48","48","","45.4"
"45","Demaryius Thomas","DEN","10","WR20","38","60","42","46","43","","45.8"
"46","Jay Ajayi","PHI","9","RB21","42","59","43","41","50","","47.0"
"47","Alex Collins","BAL","10","RB22","53","56","39","42","46","","47.2"
"48","Golden Tate","DET","6","WR21","49","58","47","45","47","","49.2"
"49","Brandin Cooks","LAR","12","WR22","64","46","53","47","37","","49.4"
"50","Jarvis Landry","CLE","11","WR23","56","50","57","44","41","","49.6"
"51","Russell Wilson","SEA","7","QB3","50","32","62","54","52","","50.0"
"52","Alshon Jeffery","PHI","9","WR24","46","53","50","57","44","","50.0"
"53","Sony Michel","NE","11","RB23","55","43","48","56","61","","52.6"
"54","Mark Ingram","NO","6","RB24","54","68","51","43","49","","53.0"
"55","Tom Brady","NE","11","QB4","29","54","66","63","64","","55.2"
"56","Ronald Jones II","TB","5","RB25","59","51","56","52","67","","57.0"
"57","Jimmy Graham","GB","7","TE4","61","65","54","55","60","","59.0"
"58","Marvin Jones","DET","6","WR25","62","67","59","58","51","","59.4"
"59","Evan Engram","NYG","9","TE5","65","47","67","62","57","","59.6"
"60","Carson Wentz","PHI","9","QB5","51","39","72","73","73","","61.6"
"61","Dion Lewis","TEN","8","RB26","71","73","58","53","54","","61.8"
"62","Lamar Miller","HOU","10","RB27","74","71","55","59","56","","63.0"
"63","Greg Olsen","CAR","4","TE6","52","77","61","60","68","","63.6"
"64","Cam Newton","CAR","4","QB6","60","45","80","70","72","","65.4"
"65","Corey Davis","TEN","8","WR26","77","48","68","77","70","","68.0"
"66","Sammy Watkins","KC","12","WR27","73","61","63","81","65","","68.6"
"67","Tevin Coleman","ATL","8","RB28","83","72","69","64","66","","70.8"
"68","Michael Crabtree","BAL","10","WR28","72","86","65","76","62","","72.2"
"69","Julian Edelman","NE","11","WR29","78","98","70","65","58","","73.8"
"70","Devin Funchess","CAR","4","WR30","81","83","87","66","63","","76.0"
"71","Delanie Walker","TEN","8","TE7","63","91","79","72","77","","76.4"
"72","Will Fuller","HOU","10","WR31","79","79","74","69","82","","76.6"
"73","Tarik Cohen","CHI","5","RB29","92","80","64","74","76","","77.2"
"74","Chris Hogan","NE","11","WR32","69","92","60","82","84","","77.4"
"75","Kyle Rudolph","MIN","10","TE8","84","81","75","79","74","","78.6"
"76","Drew Brees","NO","6","QB7","76","70","83","83","85","","79.4"
"77","Robert Woods","LAR","12","WR33","67","87","94","84","69","","80.2"
"78","Marshawn Lynch","OAK","7","RB30","57","105","77","94","78","","82.2"
"79","Kirk Cousins","MIN","10","QB8","75","62","90","97","90","","82.8"
"80","Pierre Garcon","SF","11","WR34","70","119","76","80","71","","83.2"
"81","Kerryon Johnson","DET","6","RB31","94","64","73","90","97","","83.6"
"82","Royce Freeman","DEN","10","RB32","58","55","52","61","","","56.5"
"83","Marlon Mack","IND","9","RB33","98","90","71","85","83","","85.4"
"84","Carlos Hyde","CLE","11","RB34","121","104","85","67","59","","87.2"
"85","Cooper Kupp","LAR","12","WR35","86","78","91","101","81","","87.4"
"86","Emmanuel Sanders","DEN","10","WR36","68","124","84","89","75","","88.0"
"87","Duke Johnson","CLE","11","RB35","80","97","96","75","92","","88.0"
"88","Jamison Crowder","WAS","4","WR37","100","88","81","91","87","","89.4"
"89","Devante Parker","MIA","11","WR38","90","84","97","96","89","","91.2"
"90","Jordan Reed","WAS","4","TE9","85","112","95","78","93","","92.6"
"91","Trey Burton","CHI","5","TE10","112","85","89","92","99","","95.4"
"92","Jimmy Garoppolo","SF","11","QB9","103","63","103","107","102","","95.6"
"93","Isaiah Crowell","NYJ","11","RB36","102","107","92","86","95","","96.4"
"94","Randall Cobb","GB","7","WR39","89","101","88","109","96","","96.6"
"95","Rex Burkhead","NE","11","RB37","114","115","82","88","86","","97.0"
"96","Matthew Stafford","DET","6","QB10","107","76","107","93","105","","97.6"
"97","Andrew Luck","IND","9","QB11","95","69","111","110","116","","100.2"
"98","Jamaal Williams","GB","7","RB38","105","116","86","106","88","","100.2"
"99","Jordy Nelson","OAK","7","WR40","93","137","99","99","80","","101.6"
"100","Marquise Goodwin","SF","11","WR41","106","120","106","87","91","","102.0"
"101","Aaron Jones","GB","7","RB39","124","96","98","100","98","","103.2"
"102","Robby Anderson","NYJ","11","WR42","104","121","102","102","100","","105.8"
"103","Ben Roethlisberger","PIT","7","QB12","88","99","124","105","115","","106.2"
"104","Chris Thompson","WAS","4","RB40","99","106","78","71","178","","106.4"
"105","Nelson Agholor","PHI","9","WR43","116","109","120","108","94","","109.4"
"106","Matt Ryan","ATL","8","QB13","119","93","109","114","114","","109.8"
"107","Jared Goff","LAR","12","QB14","127","74","122","123","106","","110.4"
"108","Patrick Mahomes","KC","12","QB15","113","75","128","122","120","","111.6"
"109","C.J. Anderson","CAR","4","RB41","137","129","93","95","110","","112.8"
"110","Jacksonville Jaguars","DST","9","DST1","66","94","100","104","","","91.0"
"111","Sterling Shepard","NYG","9","WR44","120","108","119","118","101","","113.2"
"112","Philip Rivers","LAC","8","QB16","125","102","117","113","113","","114.0"
"113","D'Onta Foreman","HOU","10","RB42","118","130","114","103","109","","114.8"
"114","Nick Chubb","CLE","11","RB43","111","66","101","98","","","94.0"
"115","Kelvin Benjamin","BUF","11","WR45","91","143","125","124","104","","117.4"
"116","Jack Doyle","IND","9","TE11","97","142","131","112","107","","117.8"
"117","Ty Montgomery","GB","7","RB44","133","139","104","116","108","","120.0"
"118","Allen Hurns","DAL","8","WR46","128","138","105","126","119","","123.2"
"119","Marcus Mariota","TEN","8","QB17","141","89","138","131","126","","125.0"
"120","Los Angeles Rams","DST","12","DST2","82","114","108","125","","","107.3"
"121","George Kittle","SF","11","TE12","163","118","113","120","118","","126.4"
"122","Dak Prescott","DAL","8","QB18","122","103","154","138","135","","130.4"
"123","David Njoku","CLE","11","TE13","139","100","149","134","132","","130.8"
"124","Marqise Lee","JAC","9","WR47","117","160","123","149","112","","132.2"
"125","Derek Carr","OAK","7","QB19","134","111","143","139","136","","132.6"
"126","D.J. Moore","CAR","4","WR48","146","82","110","127","","","116.3"
"127","Calvin Ridley","ATL","8","WR49","131","95","115","132","","","118.3"
"128","Dez Bryant","WR50","96","154","","121","103","","118.5"
"129","Alex Smith","WAS","4","QB20","129","123","147","145","133","","135.4"
"130","Kenny Stills","MIA","11","WR51","130","151","132","146","121","","136.0"
"131","Devontae Booker","DEN","10","RB45","151","161","136","111","123","","136.4"
"132","Minnesota Vikings","DST","10","DST3","101","132","118","142","","","123.3"
"133","Philadelphia Eagles","DST","9","DST4","87","140","127","143","","","124.3"
"134","O.J. Howard","TB","5","TE14","153","117","161","147","122","","140.0"
"135","Cameron Meredith","NO","6","WR52","166","164","133","115","125","","140.6"
"136","Jameis Winston","TB","5","QB21","132","110","181","141","142","","141.2"
"137","Greg Zuerlein","LAR","12","K1","108","155","150","150","144","","141.4"
"138","Giovani Bernard","CIN","9","RB46","148","157","134","137","134","","142.0"
"139","Mike Williams","LAC","8","WR53","160","126","130","148","153","","143.4"
"140","Tyler Eifert","CIN","9","TE15","135","170","155","144","117","","144.2"
"141","Martavis Bryant","OAK","7","WR54","156","175","142","140","111","","144.8"
"142","Stephen Gostkowski","NE","11","K2","109","158","160","151","148","","145.2"
"143","Theo Riddick","DET","6","RB47","155","177","140","128","130","","146.0"
"144","Corey Clement","PHI","9","RB48","","147","112","133","138","","132.5"
"145","Chris Carson","SEA","7","RB49","167","174","129","119","149","","147.6"
"146","Rishard Matthews","TEN","8","WR55","140","173","137","162","127","","147.8"
"147","Kenny Golladay","DET","6","WR56","147","141","144","167","145","","148.8"
"148","Justin Tucker","BAL","10","K3","126","156","157","157","151","","149.4"
"149","James White","NE","11","RB50","143","182","158","130","139","","150.4"
"150","Nyheim Hines","IND","9","RB51","193","131","116","117","","","139.3"
"151","Los Angeles Chargers","DST","8","DST5","136","149","121","154","","","140.0"
"152","Josh Doctson","WAS","4","WR57","138","145","159","178","141","","152.2"
"153","Doug Martin","OAK","7","RB52","178","189","126","136","140","","153.8"
"154","LeGarrette Blount","DET","6","RB53","150","223","148","155","124","","160.0"
"155","Austin Seferian-Jenkins","JAC","9","TE16","168","165","165","129","154","","156.2"
"156","Mitch Trubisky","CHI","5","QB22","158","113","188","173","150","","156.4"
"157","Houston Texans","DST","10","DST6","115","162","135","181","","","148.3"
"158","Michael Gallup","DAL","8","WR58","164","134","163","135","","","149.0"
"159","DeSean Jackson","TB","5","WR59","110","212","187","172","129","","162.0"
"160","Latavius Murray","MIN","10","RB54","154","190","145","185","131","","161.0"
"161","Baltimore Ravens","DST","10","DST7","123","172","146","165","","","151.5"
"162","Case Keenum","DEN","10","QB23","157","146","185","170","156","","162.8"
"163","Denver Broncos","DST","10","DST8","142","168","139","175","","","156.0"
"164","Paul Richardson","WAS","4","WR60","171","191","170","153","143","","165.6"
"165","Cameron Brate","TB","5","TE17","161","187","","152","128","","157.0"
"166","Bilal Powell","NYJ","11","RB55","169","211","171","160","137","","169.6"
"167","Tyler Lockett","SEA","7","WR61","170","176","152","190","157","","169.0"
"168","Mohamed Sanu","ATL","8","WR62","149","240","162","191","147","","177.8"
"169","Eli Manning","NYG","9","QB24","","153","174","168","164","","164.8"
"170","Matt Breida","SF","11","RB56","184","186","156","179","155","","172.0"
"171","Christian Kirk","ARI","9","WR63","182","122","195","217","161","","175.4"
"172","Blake Bortles","JAC","9","QB25","","133","","163","166","","154.0"
"173","Vance McDonald","PIT","7","TE18","176","192","169","164","167","","173.6"
"174","Anthony Miller","CHI","5","WR64","174","144","168","210","182","","175.6"
"175","Andy Dalton","CIN","9","QB26","","148","","159","170","","159.0"
"176","Tyrod Taylor","CLE","11","QB27","152","166","186","201","174","","175.8"
"177","Kenneth Dixon","BAL","10","RB57","180","180","153","189","187","","177.8"
"178","Hayden Hurst","BAL","10","TE19","","171","","161","160","","164.0"
"179","Jared Cook","OAK","7","TE20","159","213","","177","162","","177.8"
"180","Eric Ebron","IND","9","TE21","191","178","","182","152","","175.8"
"181","Ted Ginn","NO","6","WR65","162","244","","213","146","","191.3"
"182","Dede Westbrook","JAC","9","WR66","","216","178","174","159","","181.8"
"183","Courtland Sutton","DEN","10","WR67","","135","","258","177","","190.0"
"184","Charles Clay","BUF","11","TE22","145","193","","176","241","","188.8"
"185","Mike Gesicki","MIA","11","TE23","165","152","","198","","","171.7"
"186","DeMarco Murray","RB58","188","249","","169","163","","192.3"
"187","Frank Gore","MIA","11","RB59","173","251","184","222","168","","199.6"
"188","Jordan Matthews","NE","11","WR68","186","200","167","186","189","","185.6"
"189","New Orleans Saints","DST","6","DST9","195","181","151","202","","","182.3"
"190","Wil Lutz","NO","6","K4","199","184","177","197","172","","185.8"
"191","Kalen Ballage","MIA","11","RB60","","167","166","195","","","176.0"
"192","Baker Mayfield","CLE","11","QB28","","127","","283","","","205.0"
"193","Lamar Jackson","BAL","10","QB29","","128","","269","217","","204.7"
"194","Peyton Barber","TB","5","RB61","","204","172","205","158","","184.8"
"195","Matt Bryant","ATL","8","K5","177","207","176","208","181","","189.8"
"196","Keelan Cole","JAC","9","WR69","","231","","171","165","","189.0"
"197","Josh Rosen","ARI","9","QB30","","136","","308","","","222.0"
"198","New England Patriots","DST","11","DST10","144","226","194","241","","","201.3"
"199","Geronimo Allison","GB","7","WR70","","208","141","251","277","","219.3"
"200","Ricky Seals-Jones","ARI","9","TE24","","201","164","200","185","","187.5"
"201","Jake Elliott","PHI","9","K6","","206","180","216","169","","192.8"
"202","Jordan Wilkins","IND","9","RB62","185","188","179","204","","","189.0"
"203","Sam Darnold","NYJ","11","QB31","","150","","337","","","243.5"
"204","Samaje Perine","WAS","4","RB63","","292","","180","173","","215.0"
"205","Austin Hooper","ATL","8","TE25","","209","","183","171","","187.7"
"206","Ryan Tannehill","MIA","11","QB32","","163","","196","198","","185.7"
"207","Paul Perkins","RB64","","","","156","","","156.0"
"208","Harrison Butker","KC","12","K7","","202","190","188","180","","190.0"
"209","Tyrell Williams","LAC","8","WR71","","210","173","193","192","","192.0"
"210","Austin Ekeler","LAC","8","RB65","","225","","184","175","","194.7"
"211","Chris Godwin","TB","5","WR72","","159","","266","214","","213.0"
"212","James Washington","PIT","7","WR73","194","169","","282","248","","223.3"
"213","Benjamin Watson","NO","6","TE26","179","237","193","194","205","","201.6"
"214","Spencer Ware","KC","12","RB66","","230","175","215","191","","202.8"
"215","Pittsburgh Steelers","DST","7","DST11","183","196","191","232","","","200.5"
"216","Chris Boswell","PIT","7","K8","172","215","198","214","220","","203.8"
"217","Carolina Panthers","DST","4","DST12","192","199","182","236","","","202.3"
"218","Chicago Bears","DST","5","DST13","190","233","183","250","","","214.0"
"219","Javorius Allen","BAL","10","RB67","","252","","192","183","","209.0"
"220","Seattle Seahawks","DST","7","DST14","175","248","","218","","","213.7"
"221","Kapri Bibbs","WAS","4","RB68","","","","","176","","176.0"
"222","Danny Amendola","MIA","11","WR74","","262","189","220","190","","215.3"
"223","Josh Allen","BUF","11","QB33","","179","","328","280","","262.3"
"224","Travis Benjamin","LAC","8","WR75","","336","","326","179","","280.3"
"225","Albert Wilson","MIA","11","WR76","181","236","","240","202","","214.8"
"226","Joe Flacco","BAL","10","QB34","","183","","256","223","","220.7"
"227","Willie Snead","BAL","10","WR77","","265","","280","184","","243.0"
"228","Dante Pettis","SF","11","WR78","","185","","303","253","","247.0"
"229","Terrelle Pryor","NYJ","11","WR79","","272","","224","186","","227.3"
"230","Dan Bailey","DAL","8","K9","189","205","199","230","208","","206.2"
"231","T.J. Yeldon","JAC","9","RB69","","220","","187","218","","208.3"
"232","Dallas Cowboys","DST","8","DST15","187","","","314","","","250.5"
"233","Robbie Gould","SF","11","K10","","195","196","203","199","","198.3"
"234","Donte Moncrief","JAC","9","WR80","","227","","261","188","","225.3"
"235","John Ross","CIN","9","WR81","196","194","","289","254","","233.3"
"236","Kansas City Chiefs","DST","12","DST16","","224","192","234","","","216.7"
"237","Terrance Williams","DAL","8","WR82","","322","","332","193","","282.3"
"238","Jake Butt","DEN","10","TE27","","229","","278","194","","233.7"
"239","Ed Dickson","SEA","7","TE28","","319","","288","195","","267.3"
"240","Mason Crosby","GB","7","K11","197","246","200","223","226","","218.4"
"241","Mark Andrews","BAL","10","TE29","","255","","","196","","225.5"
"242","Matt Prater","DET","6","K12","","218","197","231","213","","214.8"
"243","Corey Coleman","CLE","11","WR83","","232","","268","197","","232.3"
"244","Dallas Goedert","PHI","9","TE30","","197","","310","262","","256.3"
"245","Cairo Santos","NYJ","11","K13","","198","","","","","198.0"
"246","Arizona Cardinals","DST","9","DST17","198","266","","284","","","249.3"
"247","Justin Jackson","LAC","8","RB70","","254","","199","282","","245.0"
"248","D.J. Chark","JAC","9","WR84","","222","","","200","","211.0"
"249","Tennessee Titans","DST","8","DST18","200","276","","293","","","256.3"
"250","Matt Barkley","CIN","9","QB35","","","","","211","","211.0"
"251","Ryan Succop","TEN","8","K14","","","201","229","224","","218.0"
"252","Antonio Callaway","CLE","11","WR85","","221","","","229","","225.0"
"253","Charcandrick West","KC","12","RB71","","","","227","","","227.0"
"254","John Kelly","LAR","12","RB72","","245","","212","","","228.5"
"255","Sam Bradford","ARI","9","QB36","","203","","252","235","","230.0"
"256","Elijah McGuire","NYJ","11","RB73","","238","","207","247","","230.7"
"257","Coby Fleener","TE31","","","","206","261","","233.5"
"258","Quincy Enunwa","NYJ","11","WR86","","217","","242","242","","233.7"
"259","DaeSean Hamilton","DEN","10","WR87","","235","","","","","235.0"
"260","Taywan Taylor","TEN","8","WR88","","267","","","206","","236.5"
"261","Jeremy Maclin","WR89","","","","255","219","","237.0"
"262","Brian Hoyer","NE","11","QB37","","","","","237","","237.0"
"263","Chase Edmonds","ARI","9","RB74","","228","","254","239","","240.3"
"264","Darren Sproles","PHI","9","RB75","","288","","219","215","","240.7"
"265","Kai Forbath","MIN","10","K15","","","","237","245","","241.0"
"266","Mason Rudolph","PIT","7","QB38","","241","","","","","241.0"
"267","Orleans Darkwa","RB76","","","","225","263","","244.0"
"268","Chandler Catanzaro","TB","5","K16","","","","245","","","245.0"
"269","Josh Lambo","JAC","9","K17","","","","246","","","246.0"
"270","Jeremy Hill","NE","11","RB77","","309","","226","204","","246.3"
"271","Daniel Carlson","MIN","10","K18","","259","","238","","","248.5"
"272","Detroit Lions","DST","6","DST19","","234","","265","","","249.5"
"273","Stevan Ridley","PIT","7","RB78","","","","","250","","250.0"
"274","Ameer Abdullah","DET","6","RB79","","279","","228","246","","251.0"
"275","Jaylen Samuels","PIT","7","TE32","","242","","260","","","251.0"
"276","Eric Decker","WR90","","","","244","258","","251.0"
"277","Deon Cain","IND","9","WR91","","247","","","255","","251.0"
"278","Tavon Austin","DAL","8","WR92","","257","","291","210","","252.7"
"279","Jonathan Stewart","NYG","9","RB80","","310","","211","238","","253.0"
"280","Zay Jones","BUF","11","WR93","","261","","300","203","","254.7"
"281","Simmie Cobbs Jr.","WAS","4","WR94","","","","","256","","256.0"
"282","Graham Gano","CAR","4","K19","","","","249","264","","256.5"
"283","Robert Kelley","WAS","4","RB81","","","","","257","","257.0"
"284","Equanimeous St. Brown","GB","7","WR95","","258","","","","","258.0"
"285","Brandon Marshall","SEA","7","WR96","","301","","259","216","","258.7"
"286","Mike Wallace","PHI","9","WR97","","286","","262","233","","260.3"
"287","Jermaine Kearse","NYJ","11","WR98","","274","","273","234","","260.3"
"288","Cole Beasley","DAL","8","WR99","","285","","297","201","","261.0"
"289","Vernon Davis","WAS","4","TE33","","287","","271","230","","262.7"
"290","Ryan Fitzpatrick","TB","5","QB39","","291","","","236","","263.5"
"291","J'Mon Moore","GB","7","WR100","","239","","275","278","","264.0"
"292","Chris Ivory","BUF","11","RB82","","278","","243","274","","265.0"
"293","Steven Hauschka","BUF","11","K20","","","","","265","","265.0"
"294","Adam Vinatieri","IND","9","K21","","","","233","300","","266.5"
"295","Blake Jarwin","DAL","8","TE34","","307","","","227","","267.0"
"296","Rico Gathers","DAL","8","TE35","","298","","292","212","","267.3"
"297","Chester Rogers","IND","9","WR101","","313","","","222","","267.5"
"298","Bo Scarbrough","DAL","8","RB83","","297","","264","244","","268.3"
"299","James Conner","PIT","7","RB84","","253","","263","289","","268.3"
"300","Xavier Grimble","PIT","7","TE36","","","","","269","","269.0"
"301","Malcolm Mitchell","NE","11","WR102","","296","","286","232","","271.3"
"302","C.J. Prosise","SEA","7","RB85","","300","","239","275","","271.3"
"303","Corey Grant","JAC","9","RB86","","290","","257","268","","271.7"
"304","Tre'Quan Smith","NO","6","WR103","","214","","330","","","272.0"
"305","Cody Latimer","NYG","9","WR104","","","","","273","","273.0"
"306","Nick Foles","PHI","9","QB40","","263","","270","292","","275.0"
"307","Jonnu Smith","TEN","8","TE37","","250","","336","240","","275.3"
"308","Cameron Artis-Payne","CAR","4","RB87","","","","279","272","","275.5"
"309","John Brown","BAL","10","WR105","","282","","295","251","","276.0"
"310","Ito Smith","ATL","8","RB88","","256","","298","","","277.0"
"311","Atlanta Falcons","DST","8","DST20","","268","","287","","","277.5"
"312","Taylor Gabriel","CHI","5","WR106","","299","","267","267","","277.7"
"313","Tyler Kroft","CIN","9","TE38","","289","","274","271","","278.0"
"314","Wayne Gallman","NYG","9","RB89","","348","","235","252","","278.3"
"315","Keke Coutee","HOU","10","WR107","","219","","338","","","278.5"
"316","Robert Turbin","IND","9","RB90","","349","","209","","","279.0"
"317","Adam Shaheen","CHI","5","TE39","","295","","247","298","","280.0"
"318","Gerald Everett","LAR","12","TE40","","243","","322","276","","280.3"
"319","Ian Thomas","CAR","4","TE41","","281","","","","","281.0"
"320","Mark Walton","CIN","9","RB91","","270","","277","297","","281.3"
"321","Dwayne Allen","NE","11","TE42","","340","","","228","","284.0"
"322","Luke Willson","DET","6","TE43","","275","","334","243","","284.0"
"323","Julius Thomas","TE44","","","","311","260","","285.5"
"324","Jacoby Brissett","IND","9","QB41","","283","","347","231","","287.0"
"325","Chad Williams","ARI","9","WR108","","293","","","281","","287.0"
"326","Alfred Morris","RB92","","","","","287","","287.0"
"327","De'Angelo Henderson","DEN","10","RB93","","351","","253","259","","287.7"
"328","Trent Taylor","SF","11","WR109","","303","","294","266","","287.7"
"329","Stephen Anderson","HOU","10","TE45","","324","","333","207","","288.0"
"330","Josh McCown","NYJ","11","QB42","","260","","316","288","","288.0"
"331","Kevin White","CHI","5","WR110","","273","","306","285","","288.0"
"332","Phil Dawson","ARI","9","K22","","","","","290","","290.0"
"333","Virgil Green","LAC","8","TE46","","326","","320","225","","290.3"
"334","Joe Williams","SF","11","RB94","","316","","272","283","","290.3"
"335","Ryan Grant","IND","9","WR111","","277","","290","310","","292.3"
"336","Mike Gillislee","NE","11","RB95","","368","","221","291","","293.3"
"337","Adrian Peterson","RB96","","337","","248","295","","293.3"
"338","Laquon Treadwell","MIN","10","WR112","","294","","","","","294.0"
"339","Rod Smith","DAL","8","RB97","","308","","276","301","","295.0"
"340","Kenny Britt","NE","11","WR113","","380","","285","221","","295.3"
"341","San Francisco 49ers","DST","11","DST21","","271","","324","","","297.5"
"342","New York Giants","DST","9","DST22","","","","299","","","299.0"
"343","Cincinnati Bengals","DST","9","DST23","","284","","317","","","300.5"
"344","Curtis Samuel","CAR","4","WR114","","306","","","296","","301.0"
"345","AJ McCarron","BUF","11","QB43","","264","","329","311","","301.3"
"346","Green Bay Packers","DST","7","DST24","","280","","325","","","302.5"
"347","Kyle Lauletta","NYG","9","QB44","","304","","","","","304.0"
"348","Trey Quinn","WAS","4","WR115","","305","","","","","305.0"
"349","Ryan Griffin","TB","5","QB45","","389","","319","209","","305.7"
"350","Teddy Bridgewater","NYJ","11","QB46","","269","","343","","","306.0"
"351","Deonte Thompson","DAL","8","WR116","","","","","306","","306.0"
"352","Brice Butler","ARI","9","WR117","","327","","307","286","","306.7"
"353","Jacquizz Rodgers","TB","5","RB98","","","","","307","","307.0"
"354","Cleveland Browns","DST","11","DST25","","302","","313","","","307.5"
"355","J.J. Nelson","ARI","9","WR118","","343","","304","279","","308.7"
"356","Dalton Schultz","DAL","8","TE47","","311","","","","","311.0"
"357","Boston Scott","NO","6","RB99","","314","","309","","","311.5"
"358","Braxton Berrios","NE","11","WR119","","312","","","","","312.0"
"359","Cordarrelle Patterson","NE","11","WR120","","357","","296","284","","312.3"
"360","Nick Vannett","SEA","7","TE48","","323","","321","293","","312.3"
"361","Charles Sims","TB","5","RB100","","367","","301","270","","312.7"
"362","Kerwynn Williams","KC","12","RB101","","","","","314","","314.0"
"363","Bennie Fowler","CHI","5","WR121","","","","","315","","315.0"
"364","Mack Hollins","PHI","9","WR122","","315","","","","","315.0"
"365","Josh Adams","PHI","9","RB102","","330","","","302","","316.0"
"366","Seth Roberts","OAK","7","WR123","","","","","316","","316.0"
"367","Dustin Hopkins","WAS","4","K23","","","","","317","","317.0"
"368","Justin Watson","TB","5","WR124","","317","","","","","317.0"
"369","Akeem Hunt","RB103","","","","","318","","318.0"
"370","Amara Darboh","SEA","7","WR125","","318","","","","","318.0"
"371","Jesse James","PIT","7","TE49","","320","","331","304","","318.3"
"372","Antonio Gates","TE50","","360","","281","","","320.5"
"373","Daurice Fountain","IND","9","WR126","","321","","","","","321.0"
"374","Tyler Higbee","LAR","12","TE51","","325","","318","","","321.5"
"375","Oakland Raiders","DST","7","DST26","","","","323","","","323.0"
"376","Torrey Smith","CAR","4","WR127","","364","","315","294","","324.3"
"377","J.D. McKissic","SEA","7","RB104","","366","","305","308","","326.3"
"378","Jeff Heuerman","DEN","10","TE52","","","","327","","","327.0"
"379","Jaron Brown","SEA","7","WR128","","339","","344","299","","327.3"
"380","Auden Tate","CIN","9","WR129","","328","","","","","328.0"
"381","Tyler Boyd","CIN","9","WR130","","347","","312","","","329.5"
"382","Davis Webb","NYG","9","QB47","","331","","","","","331.0"
"383","Jordan Akins","HOU","10","TE53","","332","","","","","332.0"
"384","Chad Kelly","DEN","10","QB48","","333","","","","","333.0"
"385","DeAndre Washington","OAK","7","RB105","","386","","302","313","","333.7"
"386","Taysom Hill","NO","6","QB49","","334","","","","","334.0"
"387","Kendall Wright","MIN","10","WR131","","361","","","309","","335.0"
"388","Tampa Bay Buccaneers","DST","5","DST27","","","","335","","","335.0"
"389","Michael Roberts","DET","6","TE54","","335","","","","","335.0"
